feature_1,feature_2,correlation,abs_correlation
building_area_m2,building_area_ping,1.0,1.0
main_building_area_m2,main_building_area_ping,1.0,1.0
comp_730d_mean_price,comp_730d_weighted_mean_price,0.9956880927317441,0.9956880927317441
comp_365d_mean_price,comp_365d_weighted_mean_price,0.9956588917932018,0.9956588917932018
district_median_price_180d,district_median_price_365d,0.9934048641461986,0.9934048641461986
district_type_median_price_180d,district_type_median_price_365d,0.9921719875745391,0.9921719875745391
comp_365d_weighted_mean_price,comp_730d_weighted_mean_price,0.9913948557259787,0.9913948557259787
comp_365d_mean_price,comp_730d_mean_price,0.9876566889880262,0.9876566889880262
comp_365d_weighted_mean_price,comp_730d_mean_price,0.9869861995175349,0.9869861995175349
comp_730d_median_price,comp_730d_mean_price,0.9862613602656549,0.9862613602656549
comp_365d_median_price,comp_365d_mean_price,0.9858001843313203,0.9858001843313203
comp_365d_mean_price,comp_730d_weighted_mean_price,0.9845376632063283,0.9845376632063283
comp_730d_median_price,comp_730d_weighted_mean_price,0.9827837406430538,0.9827837406430538
comp_365d_median_price,comp_365d_weighted_mean_price,0.982274151139297,0.982274151139297
comp_365d_median_price,comp_730d_median_price,0.9805801572717344,0.9805801572717344
comp_365d_median_distance,comp_730d_median_distance,0.9757592771607421,0.9757592771607421
comp_365d_median_price,comp_730d_mean_price,0.9752893172889279,0.9752893172889279
comp_365d_weighted_mean_price,comp_730d_median_price,0.9733634793921816,0.9733634793921816
comp_365d_mean_price,comp_730d_median_price,0.9732893388137794,0.9732893388137794
comp_365d_median_price,comp_730d_weighted_mean_price,0.9726260114653285,0.9726260114653285
comp_365d_nearest_distance,comp_730d_nearest_distance,0.9714192734899029,0.9714192734899029
comp_365d_count,comp_730d_count,0.9517158698350177,0.9517158698350177
comp_365d_median_area_diff_pct,comp_730d_median_area_diff_pct,0.9316316290302796,0.9316316290302796
comp_365d_nearest_price,comp_730d_nearest_price,0.9257767361719696,0.9257767361719696
comp_365d_median_age_diff,comp_730d_median_age_diff,0.9057307590070728,0.9057307590070728
