fold_id,feature,gain_importance,split_importance,feature_group
1,trade_year,226935.89039611816,142.0,location_time
1,main_use_missing,2516.4309997558594,5.0,basic_housing
1,building_age,5855821.971893311,2137.0,basic_housing
1,building_age_missing,436990.04388427734,99.0,basic_housing
1,building_area_m2,1587516.9652862549,866.0,basic_housing
1,building_area_ping,388177.2663421631,225.0,basic_housing
1,main_building_area_m2,2170413.5059814453,1075.0,basic_housing
1,main_building_area_ping,427173.4281616211,202.0,basic_housing
1,auxiliary_area_m2,2298270.8092193604,1025.0,basic_housing
1,balcony_area_m2,1592851.9451904297,867.0,basic_housing
1,land_area_m2,3424973.1577453613,1514.0,basic_housing
1,floor,4112231.417694092,696.0,basic_housing
1,total_floor,4008568.736602783,1191.0,basic_housing
1,floor_ratio,1125646.3847503662,618.0,basic_housing
1,is_basement,0.0,0.0,basic_housing
1,multi_floor,120933.44403076172,73.0,basic_housing
1,rooms,2350510.4086914062,479.0,basic_housing
1,living_rooms,680173.5068206787,246.0,basic_housing
1,bathrooms,448228.03384399414,188.0,basic_housing
1,has_management,404771.9263305664,151.0,basic_housing
1,has_elevator,42268.61145019531,17.0,basic_housing
1,has_parking,819727.8096313477,138.0,basic_housing
1,parking_area_m2,2887412.863845825,876.0,basic_housing
1,physical_condition_flag,293521.50842285156,119.0,note_flags
1,renovation_flag,117073.79605102539,56.0,note_flags
1,broad_note_flag,76316.09957885742,41.0,note_flags
1,district_median_price_180d,1734349.7510375977,614.0,time_aware_market
1,district_median_price_365d,2706193.2221679688,742.0,time_aware_market
1,district_count_180d,1274499.5191345215,695.0,time_aware_market
1,district_type_median_price_180d,1305171.0227355957,542.0,time_aware_market
1,district_type_median_price_365d,2118641.8358154297,646.0,time_aware_market
1,district_type_count_180d,821475.7077026367,535.0,time_aware_market
1,district_price_change_180_365,692276.6558837891,470.0,time_aware_market
1,district_type_price_change_180_365,704349.3991394043,506.0,time_aware_market
1,comp_365d_count,0.0,0.0,comparable_sales
1,comp_365d_median_price,860201.3430480957,430.0,comparable_sales
1,comp_365d_mean_price,813298.492401123,331.0,comparable_sales
1,comp_365d_weighted_mean_price,9894339.735321045,377.0,comparable_sales
1,comp_365d_std_price,1228758.8257141113,635.0,comparable_sales
1,comp_365d_nearest_price,789344.0211639404,530.0,comparable_sales
1,comp_365d_nearest_distance,701266.4105072021,450.0,comparable_sales
