feature,feature_group,mean_gain_importance,std_gain_importance,mean_split_importance,std_split_importance,rank_gain,rank_split
comp_730d_weighted_mean_price,comparable_sales,172817195.050177,20791941.52388104,810.4666666666667,43.92179196621889,1,11
comp_730d_mean_price,comparable_sales,33641188.99622498,12355862.764052883,583.7333333333333,37.11462296851793,2,22
comp_365d_weighted_mean_price,comparable_sales,11747729.652401734,5973493.327781573,400.2,36.1390173002611,3,39
building_age,basic_housing,6191285.451554362,414325.259703063,2028.4,64.03659667944346,4,1
floor,basic_housing,4613912.695616659,336025.62743087916,763.1333333333333,29.26935663958533,5,12
comp_730d_median_price,comparable_sales,3953243.2721740725,4645426.568650554,529.1333333333333,37.026759949811364,6,27
total_floor,basic_housing,3548937.0179931642,372651.61271680315,1050.3333333333333,80.4990387401939,7,3
land_area_m2,basic_housing,3113775.1763081867,182075.0525083462,1430.0,58.57717741822075,8,2
comp_730d_nearest_price,comparable_sales,3022060.109881592,567107.7445067465,648.1333333333333,30.898142955446993,9,16
parking_area_m2,basic_housing,2681490.9409810384,285537.09135425853,855.8666666666667,64.25270051763991,10,8
rooms,basic_housing,2469970.2484141034,191672.3922754682,512.5333333333333,30.511980472938028,11,29
district_type_median_price_365d,time_aware_market,2316406.494546509,399636.7825191165,609.7333333333333,34.50355399223736,12,18
district_median_price_365d,time_aware_market,2299010.1618052167,236291.2928970116,655.2,44.36890803254012,13,14
auxiliary_area_m2,basic_housing,2223320.143378703,158992.36145552425,929.3333333333334,67.08168439262977,14,6
main_building_area_m2,basic_housing,2128279.7121103923,211460.03419026537,991.9333333333333,41.71410632707676,15,4
comp_365d_mean_price,comparable_sales,2062730.8563771567,2608703.3028823785,407.3333333333333,42.89633128946153,16,38
building_area_m2,basic_housing,1935831.0239552816,309370.7076570294,971.9333333333333,96.37535745100779,17,5
district_median_price_180d,time_aware_market,1878959.7262379965,145218.95861784418,653.4666666666667,38.0091467688402,18,15
comp_730d_std_price,comparable_sales,1802688.8371775309,246067.56033950986,861.7333333333333,63.23478548424196,19,7
material_鋼筋混凝土造,other,1760731.5884297688,286660.7403030111,179.06666666666666,22.31100518535532,20,44
comp_730d_median_age_diff,comparable_sales,1693323.3546508788,152083.43508013317,819.2,50.78273047292469,21,10
district_type_median_price_180d,time_aware_market,1551055.4164581299,255281.87675637848,530.2,34.40971623580429,22,25
balcony_area_m2,basic_housing,1479384.9403798422,89593.57833124754,833.5333333333333,36.86242117981533,23,9
comp_365d_median_age_diff,comparable_sales,1235294.2935729981,88558.73817322285,670.4666666666667,30.172993285544667,24,13
comp_365d_std_price,comparable_sales,1200310.4931559244,56476.32138970101,646.6666666666666,31.781995502095814,25,17
district_count_180d,time_aware_market,1064963.774013265,143318.291541556,601.8666666666667,50.61319233258499,26,19
comp_730d_nearest_distance,comparable_sales,1059787.6742045085,104612.18627932857,529.2666666666667,26.93236679076649,27,26
floor_ratio,basic_housing,993735.3609690348,90294.82997403426,541.0666666666667,51.969038401542036,28,23
comp_365d_nearest_price,comparable_sales,956396.6503936767,85698.74858817642,593.4,44.027264280216144,29,21
has_parking,basic_housing,855251.5728088379,68260.63348899614,117.66666666666667,15.150043218545935,30,47
district_type_price_change_180_365,time_aware_market,845705.5691864013,71651.84603201103,594.6,36.62902830113998,31,20
comp_365d_median_price,comparable_sales,842824.3470967611,212979.90972081493,476.26666666666665,32.06570635132687,32,32
district_type_count_180d,time_aware_market,826474.2540242512,113721.41527612445,507.8,29.93135002444281,33,30
comp_365d_median_distance,comparable_sales,815860.4647521973,93825.40342187222,431.53333333333336,42.033773269099875,34,36
comp_730d_median_distance,comparable_sales,794029.8950297037,89142.32418514423,420.26666666666665,38.4957635269624,35,37
district_price_change_180_365,time_aware_market,786663.0679585774,108113.87684777082,521.7333333333333,50.35795676478355,36,28
comp_730d_median_area_diff_pct,comparable_sales,785076.9795196534,116413.14862724552,541.0,50.86255990411809,37,24
comp_365d_nearest_distance,comparable_sales,763159.6601552328,59985.886765159994,470.06666666666666,28.118287558777368,38,34
comp_730d_median_days_diff,comparable_sales,697146.4804677328,143425.6890009403,482.6,62.87038821484812,39,31
comp_365d_median_days_diff,comparable_sales,665037.4649586995,91291.05236919015,470.6666666666667,40.60025803342821,40,33
comp_365d_median_area_diff_pct,comparable_sales,653496.5560343425,86427.2385952733,460.8,42.2445262726427,41,35
living_rooms,basic_housing,631170.6959014892,152166.35734990664,248.73333333333332,30.62320937427938,42,40
bathrooms,basic_housing,444018.00963134767,40196.76751701426,206.33333333333334,17.556710831989434,43,41
main_building_area_ping,basic_housing,434395.249105835,25339.1271730079,205.4,13.308429122713381,44,42
physical_condition_flag,note_flags,413749.5902587891,123899.1903533492,127.26666666666667,13.43485162163089,45,45
building_area_ping,basic_housing,412581.3370015462,84603.6939646193,200.8,36.14099374078456,46,43
material_鋼骨造,other,336822.6792297363,48918.09475751495,66.0,10.79682493010925,47,57
building_age_missing,basic_housing,314002.20795898436,164660.17116415978,76.66666666666667,30.990013752513125,48,53
has_management,basic_housing,278921.86891886394,117757.87197861608,99.06666666666666,36.64787397198734,49,48
multi_floor,basic_housing,249349.69724324543,113151.28648279692,85.26666666666667,28.28544973421258,50,51
district_松山區,location_time,239091.042578125,68246.74933230013,85.06666666666666,16.24133468594723,51,52
district_信義區,location_time,212366.80330200196,53072.09859193899,92.46666666666667,13.804071173113421,52,50
building_type_華廈(10層含以下有電梯),basic_housing,199264.23985087077,86986.70749170073,95.26666666666667,11.64024218370211,53,49
trade_year,location_time,183328.71909586588,49945.87978550971,122.53333333333333,24.091689932620415,54,46
district_中正區,location_time,178765.25119018555,28446.118030092235,67.53333333333333,9.249453008280051,55,55
material_鋼骨鋼筋混凝土造,other,173938.9319152832,71405.6569986597,70.86666666666666,28.68764459451059,56,54
district_中山區,location_time,153152.6869486491,28157.13262122224,60.666666666666664,12.086986311535147,57,58
broad_note_flag,note_flags,112157.70119018554,43771.73320874126,52.6,13.788193707454422,58,59
district_士林區,location_time,112157.01187133789,27378.72448347389,67.33333333333333,14.529116906929962,59,56
district_大安區,location_time,91392.84083760579,52781.773671588606,17.733333333333334,8.9798716715828,60,84
material_見其他登記事項,other,90316.6131998698,124594.81820600349,33.111111111111114,27.360758598970005,61,65
renovation_flag,note_flags,72572.45827534994,31503.24934366378,48.6,6.566146945834043,62,60
has_elevator,basic_housing,72532.05674845378,31110.86897628225,16.0,5.916079783099616,63,88
main_use_missing,basic_housing,67626.90408732096,83625.58611172216,25.533333333333335,24.86784115699479,64,72
district_北投區,location_time,64622.67828572591,16237.030404270363,32.86666666666667,8.943207052336001,65,66
district_南港區,location_time,62731.584670003256,22128.460611960283,33.333333333333336,11.932348988399239,66,64
material_加強磚造,other,59877.00649617513,23913.073758272836,32.4,8.122279764415197,67,67
trade_yq_2024Q3,location_time,57619.17855834961,22491.48404604537,30.25,12.446552400832395,68,70
building_type_公寓(5樓含以下無電梯),basic_housing,52403.19180908203,26223.269245524138,9.4,5.3692244717995745,69,107
district_大同區,location_time,49815.300920613605,18660.895848848704,30.333333333333332,12.584949438950973,70,69
trade_yq_2024Q4,location_time,48152.43508911133,17494.772543224222,34.0,10.535653752852738,71,62
district_內湖區,location_time,46697.51645711263,16379.12946170195,23.133333333333333,7.189940062005948,72,76
material_鋼筋混凝土造，鋼骨鋼筋混凝土造,other,43378.16408589681,29012.716456132315,22.4,16.952875862224673,73,78
