feature,feature_importance_gain_rank,mean_gain_importance,pearson_corr_with_target,missing_ratio,feature_type
comp_730d_weighted_mean_price,1,172817195.050177,0.8197606056050863,0.0008510073938174865,weighted_mean_price
comp_730d_mean_price,2,33641188.99622498,0.8123627030169726,0.0008510073938174865,mean_price
comp_365d_weighted_mean_price,3,11747729.652401734,0.8123279606078356,0.0010941523634796254,weighted_mean_price
comp_730d_median_price,6,3953243.2721740725,0.8014996457093122,0.0008510073938174865,median_price
comp_730d_nearest_price,9,3022060.109881592,0.7371595621356444,0.0008510073938174865,nearest_price
comp_365d_mean_price,16,2062730.8563771567,0.8050616801905642,0.0010941523634796254,mean_price
comp_730d_std_price,19,1802688.8371775309,0.4372101678889563,0.0008510073938174865,std_price
comp_730d_median_age_diff,21,1693323.3546508788,0.009530195881354462,0.07678960223693372,age_diff
comp_365d_median_age_diff,24,1235294.2935729981,0.016534972311853073,0.07677855019285817,age_diff
comp_365d_std_price,25,1200310.4931559244,0.43945293170511646,0.0010941523634796254,std_price
comp_730d_nearest_distance,27,1059787.6742045085,0.06479281367142531,0.0008510073938174865,distance
comp_365d_nearest_price,29,956396.6503936767,0.7259351604854962,0.0010941523634796254,nearest_price
comp_365d_median_price,32,842824.3470967611,0.7941090822131077,0.0010941523634796254,median_price
comp_365d_median_distance,34,815860.4647521973,0.12726310865910168,0.0010941523634796254,distance
comp_730d_median_distance,35,794029.8950297037,0.0986631972240327,0.0008510073938174865,distance
comp_730d_median_area_diff_pct,37,785076.9795196534,0.030872401391255674,0.0008510073938174865,area_diff
comp_365d_nearest_distance,38,763159.6601552328,0.08362165553679554,0.0010941523634796254,distance
comp_730d_median_days_diff,39,697146.4804677328,0.16303693647953738,0.0008510073938174865,days_diff
comp_365d_median_days_diff,40,665037.4649586995,0.16984606142378283,0.0010941523634796254,days_diff
comp_365d_median_area_diff_pct,41,653496.5560343425,0.050477284470599015,0.0010941523634796254,area_diff
comp_365d_count,120,0.0,-0.004135228350835051,0.0,count
comp_730d_count,120,0.0,-0.0009414296446065378,0.0,count
