id,transfer_id,source_release,source_order,source_file,source_folder,trade_date,address_raw,note_raw,unit_price_ping,unit_price_m2,district,trade_year,trade_month,trade_quarter,trade_ym,trade_yq,building_type,main_use,main_use_missing,material,building_age,building_area_m2,building_area_ping,main_building_area_m2,main_building_area_ping,auxiliary_area_m2,balcony_area_m2,land_area_m2,floor,total_floor,floor_ratio,is_basement,multi_floor,rooms,living_rooms,bathrooms,has_management,has_elevator,has_parking,parking_area_m2,total_price,total_price_wan,parking_price
RPOOMLSJKHIGFCA47EA,0003,112Q1,1121,/home/nas2/Personal/Hank/Esuan/Data/112年第一季/a_lvr_land_a.csv,112年第一季,2023-02-01,臺北市中山區市民大道三段１６９號十三樓之３,,63.41586539050001,191833,中山區,2023,2,1,2023-02,2023Q1,住宅大樓(11層含以上有電梯),住家用,0,鋼筋混凝土造,14.666666666666666,68.81,20.815025780563467,24.54,7.423350278375635,1.86,3.41,8.81,13.0,13.0,1.0,0,0,2,1,1,1.0,1.0,0,0.0,13200000,1320.0,0
RPPNMLKKKHIGFDA76DA,0011,112Q1,1121,/home/nas2/Personal/Hank/Esuan/Data/112年第一季/a_lvr_land_a.csv,112年第一季,2023-02-01,臺北市信義區吳興街２８４巷２０號四樓,,61.13421258350001,184931,信義區,2023,2,1,2023-02,2023Q1,公寓(5樓含以下無電梯),住家用,0,鋼筋混凝土造,48.662559890485966,94.63,28.6255760734591,94.63,28.6255760734591,0.0,0.0,39.25,4.0,4.0,1.0,0,1,3,2,2,0.0,0.0,0,0.0,17500000,1750.0,0
RPPNMLOKKHIGFFA47EA,,112Q1,1121,/home/nas2/Personal/Hank/Esuan/Data/112年第一季/a_lvr_land_a.csv,112年第一季,2023-02-08,臺北市大安區和平東路三段３４６巷２１號三樓,,47.0495850125,142325,大安區,2023,2,1,2023-02,2023Q1,公寓(5樓含以下無電梯),住家用,0,鋼筋混凝土造,,45.67,13.815175518069081,45.67,13.815175518069081,0.0,0.0,16.12,3.0,4.0,0.75,0,1,2,1,1,0.0,0.0,0,0.0,6500000,650.0,0
RPPNMLPKKHIGFEA47EA,0015,112Q1,1121,/home/nas2/Personal/Hank/Esuan/Data/112年第一季/a_lvr_land_a.csv,112年第一季,2023-02-03,臺北市士林區延平北路八段２巷５５弄２０號二樓,,36.84627961,111460,士林區,2023,2,1,2023-02,2023Q1,公寓(5樓含以下無電梯),住家用,0,加強磚造,60.596851471594796,69.98,21.168950793835656,69.98,21.168950793835656,0.0,0.0,29.67,2.0,3.0,0.6666666666666666,0,0,2,1,1,0.0,0.0,0,0.0,7800000,780.0,0
RPVPMLKKKHIGFEA67DA,0024,112Q1,1121,/home/nas2/Personal/Hank/Esuan/Data/112年第一季/a_lvr_land_a.csv,112年第一季,2023-02-04,臺北市士林區中山北路七段９號二樓,陽台外推；,63.09123730350001,190851,士林區,2023,2,1,2023-02,2023Q1,華廈(10層含以下有電梯),住家用,0,鋼筋混凝土造,34.893908281998634,162.43,49.13507684256538,142.8,43.19700161988756,0.0,11.36,31.69,2.0,7.0,0.2857142857142857,0,0,2,1,2,1.0,1.0,0,0.0,31000000,3100.0,0
RPSOMLOKKHIGFDA57DA,0030,112Q1,1121,/home/nas2/Personal/Hank/Esuan/Data/112年第一季/a_lvr_land_a.csv,112年第一季,2023-02-02,臺北市松山區南京東路五段２３９號五樓之１３,,90.2449552935,272991,松山區,2023,2,1,2023-02,2023Q1,住宅大樓(11層含以上有電梯),住家用,0,鋼筋混凝土造,13.842573579739904,51.65,15.624125585904707,30.41,9.19902534496345,0.0,3.67,4.16,5.0,18.0,0.2777777777777778,0,0,1,1,1,1.0,1.0,0,0.0,14100000,1410.0,0
RPSNMLPKKHIGFEA77EA,0031,112Q1,1121,/home/nas2/Personal/Hank/Esuan/Data/112年第一季/a_lvr_land_a.csv,112年第一季,2023-02-08,臺北市北投區磺港路８號九樓,,51.1666096515,154779,北投區,2023,2,1,2023-02,2023Q1,華廈(10層含以下有電梯),住家用,0,鋼筋混凝土造,34.09445585215606,117.91,35.66777633754161,101.32,30.64930114934879,0.0,11.32,16.22,9.0,9.0,1.0,0,0,3,1,2,0.0,1.0,0,0.0,18250000,1825.0,0
RPOUMLOJJHIGFDA67EA,,112Q1,1121,/home/nas2/Personal/Hank/Esuan/Data/112年第一季/a_lvr_land_a.csv,112年第一季,2023-02-05,臺北市松山區民生東路五段１７０號七樓之２,,78.355699541,237026,松山區,2023,2,1,2023-02,2023Q1,住宅大樓(11層含以上有電梯),住家用,0,鋼筋混凝土造,43.71252566735113,120.24,36.37260136397255,93.38,28.247451059279413,0.0,10.26,14.7,7.0,15.0,0.4666666666666667,0,0,3,2,2,1.0,1.0,0,0.0,28500000,2850.0,0
RPRNMLRKKHIGFCA67EA,,112Q1,1121,/home/nas2/Personal/Hank/Esuan/Data/112年第一季/a_lvr_land_a.csv,112年第一季,2023-02-03,臺北市中山區建國北路三段８０巷１號八樓,,62.745121614000006,189804,中山區,2023,2,1,2023-02,2023Q1,住宅大樓(11層含以上有電梯),住家用,0,鋼筋混凝土造,35.082819986310746,135.93,41.118826541956,118.56,35.86440134491505,1.11,10.69,19.31,8.0,11.0,0.7272727272727273,0,0,3,2,2,1.0,1.0,0,0.0,25800000,2580.0,0
RPVNMLSKKHIGFBA97DA,,112Q1,1121,/home/nas2/Personal/Hank/Esuan/Data/112年第一季/a_lvr_land_a.csv,112年第一季,2023-02-10,臺北市萬華區雙園街６７巷３弄１號四樓,,36.218841617,109562,萬華區,2023,2,1,2023-02,2023Q1,公寓(5樓含以下無電梯),住家用,0,鋼筋混凝土造,51.474332648870636,40.16,12.148400455565016,40.16,12.148400455565016,0.0,0.0,13.38,4.0,4.0,1.0,0,1,3,1,1,0.0,0.0,0,0.0,4400000,440.0,0
