column,unique_count,missing_count,missing_ratio,rank,level,count
district,12,0,0.0,1,中山區,4418
district,12,0,0.0,2,大安區,3868
district,12,0,0.0,3,內湖區,3842
district,12,0,0.0,4,文山區,3375
district,12,0,0.0,5,北投區,3260
district,12,0,0.0,6,士林區,2867
district,12,0,0.0,7,信義區,2653
district,12,0,0.0,8,松山區,2490
district,12,0,0.0,9,萬華區,2283
district,12,0,0.0,10,中正區,1843
district,12,0,0.0,11,南港區,1505
district,12,0,0.0,12,大同區,1490
trade_month,12,0,0.0,1,3,3593
trade_month,12,0,0.0,2,5,3399
trade_month,12,0,0.0,3,4,3114
trade_month,12,0,0.0,4,6,3061
trade_month,12,0,0.0,5,12,2927
trade_month,12,0,0.0,6,7,2885
trade_month,12,0,0.0,7,11,2725
trade_month,12,0,0.0,8,8,2718
trade_month,12,0,0.0,9,2,2421
trade_month,12,0,0.0,10,10,2357
trade_month,12,0,0.0,11,9,2354
trade_month,12,0,0.0,12,1,2340
trade_quarter,4,0,0.0,1,2,9574
trade_quarter,4,0,0.0,2,1,8354
trade_quarter,4,0,0.0,3,4,8009
trade_quarter,4,0,0.0,4,3,7957
trade_yq,32,0,0.0,1,2024Q2,4029
trade_yq,32,0,0.0,2,2024Q1,3484
trade_yq,32,0,0.0,3,2023Q4,3480
trade_yq,32,0,0.0,4,2023Q2,3176
trade_yq,32,0,0.0,5,2023Q3,3150
trade_yq,32,0,0.0,6,2024Q3,2831
trade_yq,32,0,0.0,7,2023Q1,2572
trade_yq,32,0,0.0,8,2025Q2,2276
trade_yq,32,0,0.0,9,2024Q4,2212
trade_yq,32,0,0.0,10,2025Q1,2093
trade_yq,32,0,0.0,11,2022Q4,1858
trade_yq,32,0,0.0,12,2025Q3,1772
trade_yq,32,0,0.0,13,2025Q4,353
trade_yq,32,0,0.0,14,2026Q1,137
trade_yq,32,0,0.0,15,2022Q3,121
trade_yq,32,0,0.0,16,2020Q4,68
trade_yq,32,0,0.0,17,2020Q3,42
trade_yq,32,0,0.0,18,2021Q1,40
trade_yq,32,0,0.0,19,2019Q4,33
trade_yq,32,0,0.0,20,2019Q3,33
building_type,3,0,0.0,1,住宅大樓(11層含以上有電梯),12915
building_type,3,0,0.0,2,公寓(5樓含以下無電梯),11289
building_type,3,0,0.0,3,華廈(10層含以下有電梯),9690
main_use,1,771,0.022747388918392637,1,住家用,33123
main_use,1,771,0.022747388918392637,2,<NA>,771
material,18,2,5.900749395173187e-05,1,鋼筋混凝土造,30319
material,18,2,5.900749395173187e-05,2,加強磚造,1502
material,18,2,5.900749395173187e-05,3,鋼骨造,984
material,18,2,5.900749395173187e-05,4,鋼骨鋼筋混凝土造,948
material,18,2,5.900749395173187e-05,5,見使用執照,37
material,18,2,5.900749395173187e-05,6,磚造,35
material,18,2,5.900749395173187e-05,7,鋼骨混凝土造,21
material,18,2,5.900749395173187e-05,8,鋼骨ＲＣ造,17
material,18,2,5.900749395173187e-05,9,壁式預鑄鋼筋混凝土造,10
material,18,2,5.900749395173187e-05,10,鋼骨鋼筋混凝土造；鋼骨造,7
material,18,2,5.900749395173187e-05,11,ＲＣ造,3
material,18,2,5.900749395173187e-05,12,鋼筋混凝土造，鋼骨鋼筋混凝土造,2
material,18,2,5.900749395173187e-05,13,<NA>,2
material,18,2,5.900749395173187e-05,14,鋼構造,2
material,18,2,5.900749395173187e-05,15,加強磚,1
material,18,2,5.900749395173187e-05,16,鋼筋混凝土加強磚造,1
material,18,2,5.900749395173187e-05,17,預力混凝土造,1
material,18,2,5.900749395173187e-05,18,磚石造,1
material,18,2,5.900749395173187e-05,19,鋼骨鋼筋混凝土造、鋼筋混凝土造,1
