column,missing_count,missing_ratio,dtype,unique_count
transfer_id,23524,0.6940461438602703,float64,2568
note_raw,12858,0.3793591786156842,str,2214
building_age,1116,0.032926181625066386,float64,15091
main_use,771,0.022747388918392637,str,1
floor_ratio,71,0.0020947660352864813,float64,271
floor,58,0.0017112173246002242,float64,33
total_floor,13,0.0003835487106862572,float64,36
material,2,5.900749395173187e-05,str,18
abnormal_transaction_flag,0,0.0,int64,1
address_raw,0,0.0,str,32656
area_outlier_flag,0,0.0,int64,1
auxiliary_area_m2,0,0.0,float64,2022
balcony_area_m2,0,0.0,float64,2534
bathrooms,0,0.0,int64,6
broad_note_flag,0,0.0,int64,2
building_age_missing,0,0.0,int64,2
building_area_m2,0,0.0,float64,15644
building_area_ping,0,0.0,float64,15514
building_type,0,0.0,str,3
district,0,0.0,str,12
has_elevator,0,0.0,float64,2
has_management,0,0.0,float64,2
has_parking,0,0.0,int64,2
id,0,0.0,str,33894
is_basement,0,0.0,int64,2
land_area_m2,0,0.0,float64,5738
layout_outlier_flag,0,0.0,int64,1
living_rooms,0,0.0,int64,6
main_building_area_m2,0,0.0,float64,11487
main_building_area_ping,0,0.0,float64,11487
main_use_missing,0,0.0,int64,2
multi_floor,0,0.0,int64,2
parking_area_m2,0,0.0,float64,2966
parking_price,0,0.0,int64,188
physical_condition_flag,0,0.0,int64,2
presale_note_flag,0,0.0,int64,1
renovation_flag,0,0.0,int64,2
rooms,0,0.0,int64,11
separate_registration_flag,0,0.0,int64,1
source_file,0,0.0,str,13
source_folder,0,0.0,str,13
source_order,0,0.0,int64,13
source_release,0,0.0,str,13
special_note_flag,0,0.0,int64,1
total_price,0,0.0,int64,4163
total_price_wan,0,0.0,float64,4163
trade_date,0,0.0,datetime64[us],1522
trade_month,0,0.0,int64,12
trade_quarter,0,0.0,int64,4
trade_year,0,0.0,int64,9
trade_ym,0,0.0,str,86
trade_yq,0,0.0,str,32
unit_price_m2,0,0.0,int64,30814
unit_price_ping,0,0.0,float64,30814
