district,n,y_true_mean,y_pred_mean,mae,rmse,mape,bias
中正區,1948,96.47857767755441,90.32603275486215,15.46985020726947,19.73883249241324,16.250918457504888,-6.152544922692271
大安區,4125,104.51957694703214,100.46952686137233,12.784746133858292,16.629164705882573,12.525308255241491,-4.050050085659794
信義區,2863,85.89398072345966,83.16450752212965,11.561009830250706,15.940866080690233,13.734202168587597,-2.729473201330013
南港區,1566,76.52134773154917,72.8923742154657,11.140244773989693,13.911978149243707,15.260934777790172,-3.6289735160834753
士林區,3112,69.34104394839461,67.15625928378606,10.926269879701875,14.525910580933235,16.640609122378198,-2.184784664608539
中山區,4765,81.95438278086402,77.25184489654322,10.709538898912044,14.201127681979099,12.770802381496122,-4.702537884320793
大同區,1552,76.79531598359891,71.6783711278089,10.469617551589215,14.166622392452934,13.467573599077367,-5.116944855790017
松山區,2695,88.8849705547909,84.81948350618237,10.437108330037796,13.894003260782974,11.603881374007772,-4.065487048608563
北投區,3566,58.85984093946285,56.109282840170756,10.18479536668137,13.098360103087812,18.28377924881081,-2.750558099292099
內湖區,4107,70.19029017574897,67.03635366562948,8.737369830296357,11.247996353117099,12.448024234814403,-3.1539365101194843
萬華區,2482,61.086374997638,58.10061007302398,7.642725775759813,10.124414680965199,12.610114590776671,-2.9857649246140148
文山區,3648,59.97612822428934,57.50364622145521,7.590053651989933,9.863263358731666,12.722286527725558,-2.4724820028341257
