step,rows_before,rows_after,rows_removed,description
raw_combined,176160,176160,0,讀取並合併所有臺北市買賣主檔
remove_invalid_header_rows,176160,176131,29,移除英文欄位說明、重複 header 或明顯非資料列
add_building_age_missing_flag,176131,176131,0,新增 building_age_missing；building_age 缺失維持 NaN
flag_layout_outliers,176131,176131,0,新增 layout_outlier_flag；clean_all 保留，model_ready 排除
flag_special_note_records,176131,176131,0,新增 abnormal/physical/renovation/broad note flags；special_note_flag = abnormal_transaction_flag
flag_presale_records,176131,176131,0,新增 presale_note_flag；clean_all 保留，主要 model_ready 排除
flag_separate_registration_records,176131,176131,0,新增 separate_registration_flag；clean_all 保留，主要 model_ready 排除
flag_area_outliers,176131,176131,0,新增 area_outlier_flag；clean_all 保留，model_ready 排除
deduplicate,176131,176131,0,同 id 保留 source_order 最大；id 缺失時使用 fallback key
filter_transaction_target,176131,147753,28378,只保留交易標的包含「房地」
filter_main_use,147753,121291,26462,保留住家用或主要用途缺失，排除明顯非住宅用途
filter_building_type,121291,120935,356,保留住宅大樓、華廈、公寓、套房、透天厝
filter_invalid_dates,120935,120934,1,排除 trade_date 缺失
filter_invalid_price_area,120934,120864,70,排除價格、面積、行政區或建物型態異常
filter_invalid_building_age,120864,120856,8,排除 building_age < 0 或 > 100
filter_outliers,120856,118438,2418,以 unit_price_ping 1% 到 99% quantile 過濾
build_clean_all,118438,118438,0,建立 clean_all dataset
build_clean_no_parking,118438,75114,43324,clean_all 中只保留 has_parking = 0
filter_abnormal_transaction_for_model_ready,118438,104815,13623,model_ready 排除 abnormal_transaction_flag = 1
filter_presale_for_model_ready,103080,91136,11944,主要 model_ready 排除 presale_note_flag = 1；with_presale 版本不套用此排除
filter_separate_registration_for_model_ready,91136,91134,2,主要 model_ready 排除 separate_registration_flag = 1；with_presale 版本不套用此排除
filter_area_outlier_for_model_ready,91134,90876,258,model_ready 排除 building_area_m2 < 10 或 > 600 的面積極端案件
filter_layout_outlier_for_model_ready,90876,90481,395,model_ready 排除 rooms > 10、living_rooms > 5 或 bathrooms > 5 的格局極端案件
build_model_ready,118438,90481,27957,排除 abnormal_transaction_flag = 1、預售屋、分件登記、面積極端、格局極端、透天厝；parking-mode=drop 時排除含車位
build_model_ready_with_presale,118438,102417,16021,保留 presale_note_flag 與 separate_registration_flag，其他 model_ready 規則相同
build_model_ready_strict,118438,51511,66927,沿用舊版嚴格備註規則；保留作為備查
