column,missing_count,missing_ratio,dtype,unique_count
transfer_id,72130,0.7971839391695494,float64,2596
note_raw,40523,0.4478619820735845,str,4438
has_elevator,22421,0.2477978802179463,float64,2
building_age,6871,0.07593859484311623,float64,19736
main_use,1077,0.01190305146936926,str,1
floor_ratio,239,0.0026414385340568737,float64,312
floor,214,0.0023651374321680793,float64,35
total_floor,25,0.00027630110188879434,float64,36
material,10,0.00011052044075551773,str,21
abnormal_transaction_flag,0,0.0,int64,1
address_raw,0,0.0,str,86252
area_outlier_flag,0,0.0,int64,1
auxiliary_area_m2,0,0.0,float64,2832
balcony_area_m2,0,0.0,float64,3041
bathrooms,0,0.0,int64,6
broad_note_flag,0,0.0,int64,2
building_age_missing,0,0.0,int64,2
building_area_m2,0,0.0,float64,24183
building_area_ping,0,0.0,float64,23857
building_type,0,0.0,str,4
district,0,0.0,str,12
has_management,0,0.0,float64,2
has_parking,0,0.0,int64,2
id,0,0.0,str,90481
is_basement,0,0.0,int64,2
land_area_m2,0,0.0,float64,7209
layout_outlier_flag,0,0.0,int64,1
living_rooms,0,0.0,int64,6
main_building_area_m2,0,0.0,float64,15158
main_building_area_ping,0,0.0,float64,15158
main_use_missing,0,0.0,int64,2
multi_floor,0,0.0,int64,2
parking_area_m2,0,0.0,float64,4666
parking_price,0,0.0,int64,318
physical_condition_flag,0,0.0,int64,2
presale_note_flag,0,0.0,int64,1
renovation_flag,0,0.0,int64,2
rooms,0,0.0,int64,11
separate_registration_flag,0,0.0,int64,1
source_file,0,0.0,str,29
source_folder,0,0.0,str,29
source_order,0,0.0,int64,29
source_release,0,0.0,str,29
special_note_flag,0,0.0,int64,1
total_price,0,0.0,int64,6874
total_price_wan,0,0.0,float64,6874
trade_date,0,0.0,datetime64[us],3431
trade_month,0,0.0,float64,12
trade_quarter,0,0.0,float64,4
trade_year,0,0.0,float64,17
trade_ym,0,0.0,str,158
trade_yq,0,0.0,str,60
unit_price_m2,0,0.0,int64,72588
unit_price_ping,0,0.0,float64,72588
