district,n,y_true_mean,y_pred_mean,mae,rmse,mape,bias
中正區,1948,96.47857767755441,94.06261247047287,15.15887470400851,19.135781064338996,16.644341755214256,-2.415965207081552
大安區,4125,104.51957694703214,102.19511328203185,12.489550807656407,16.37380428203924,12.495404598566333,-2.3244636650002684
信義區,2863,85.89398072345966,85.58230100419041,11.66437702580859,16.021454717449384,14.276603673512806,-0.31167971926924537
士林區,3112,69.34104394839461,68.58628485312558,11.023661181848775,14.447872211405201,17.192645139703284,-0.7547590952690362
南港區,1566,76.52134773154917,80.31163168561505,10.993173650260985,14.250244537892348,16.57261386973376,3.790283954065885
中山區,4765,81.95438278086402,81.22305540624927,10.655075801964443,14.003152042660624,13.377204347032226,-0.7313273746147403
北投區,3566,58.85984093946285,59.1164470803767,10.607577761039456,13.360639865119321,20.268701905532467,0.2566061409138525
松山區,2695,88.8849705547909,87.49296768739678,10.253588237554583,13.539955074386897,11.736364187217855,-1.3920028673941307
大同區,1552,76.79531598359891,77.02187175014632,10.094621172820613,13.639775705185183,13.985362369790794,0.22655576654741674
內湖區,4107,70.19029017574897,69.63317838859322,8.557137912879895,11.11813386438569,12.646028129652265,-0.5571117871557428
文山區,3648,59.97612822428934,60.630090898000546,7.417482719302609,9.53134713309813,13.247442455899524,0.6539626737112021
萬華區,2482,61.086374997638,61.737492218336754,7.409121496640598,9.80784429894834,12.914898163111488,0.6511172206987519
