district,n_v2,y_true_mean_v2,y_pred_mean_v2,mae_v2,rmse_v2,mape_v2,bias_v2,n_v3,y_true_mean_v3,y_pred_mean_v3,mae_v3,rmse_v3,mape_v3,bias_v3,delta_n,delta_y_true_mean,delta_y_pred_mean,delta_mae,delta_rmse,delta_mape,delta_bias,delta_abs_bias
中山區,4765,81.95438278086402,81.22305540624927,10.655075801964443,14.003152042660624,13.377204347032226,-0.7313273746147403,4765,81.95438278086402,81.51054540300055,10.212344253598944,13.380110977120047,12.899699234226366,-0.4438373778634599,0,0.0,0.28748999675127607,-0.442731548365499,-0.6230410655405763,-0.4775051128058596,0.2874899967512804,-0.2874899967512804
中正區,1948,96.4785776775544,94.06261247047289,15.15887470400851,19.135781064339,16.644341755214256,-2.415965207081552,1948,96.4785776775544,94.76472523611508,15.143155514215788,19.0613537282413,16.76961292600059,-1.7138524414393512,0,0.0,0.7021127656421982,-0.01571918979272091,-0.07442733609769903,0.1252711707863341,0.7021127656422006,-0.7021127656422006
信義區,2863,85.89398072345966,85.58230100419041,11.66437702580859,16.021454717449384,14.276603673512806,-0.3116797192692453,2863,85.89398072345966,85.75506144088595,11.873509286708265,16.386584085036553,14.560342697612908,-0.1389192825737152,0,0.0,0.17276043669554042,0.20913226089967374,0.3651293675871692,0.2837390241001021,0.17276043669553012,-0.17276043669553012
內湖區,4107,70.19029017574897,69.63317838859322,8.557137912879895,11.11813386438569,12.646028129652263,-0.5571117871557428,4107,70.19029017574897,70.53138386595319,8.23745778567645,10.734052945586225,12.379274314304428,0.3410936902042225,0,0.0,0.8982054773599657,-0.31968012720344596,-0.3840809187994658,-0.26675381534783504,0.8982054773599653,-0.21601809695152036
北投區,3566,58.85984093946285,59.1164470803767,10.607577761039456,13.36063986511932,20.268701905532467,0.2566061409138525,3566,58.85984093946285,59.182864128816085,10.237565551528483,12.974850211230018,19.47157696151228,0.3230231893532397,0,0.0,0.06641704843938356,-0.370012209510973,-0.38578965388930087,-0.7971249440201866,0.06641704843938723,0.06641704843938723
南港區,1566,76.52134773154917,80.31163168561505,10.993173650260983,14.250244537892348,16.57261386973376,3.790283954065885,1566,76.52134773154917,78.32413218476765,10.25754413572258,13.359561078930003,15.257791522363132,1.80278445321848,0,0.0,-1.987499500847406,-0.7356295145384042,-0.8906834589623447,-1.3148223473706295,-1.987499500847405,-1.987499500847405
士林區,3112,69.34104394839461,68.58628485312558,11.023661181848777,14.4478722114052,17.192645139703284,-0.7547590952690362,3112,69.34104394839461,69.65063921036915,10.76983597245532,14.215181018684971,17.20336413559721,0.3095952619745494,0,0.0,1.0643543572435732,-0.2538252093934563,-0.2326911927202282,0.010718995893924443,1.0643543572435856,-0.4451638332944868
大同區,1552,76.79531598359891,77.02187175014632,10.094621172820611,13.639775705185183,13.985362369790794,0.2265557665474167,1552,76.79531598359891,76.64055210311281,9.514713060068097,13.224277053088407,13.10652564550477,-0.1547638804861,0,0.0,-0.3813196470335072,-0.5799081127525145,-0.41549865209677606,-0.8788367242860247,-0.3813196470335167,-0.0717918860613167
大安區,4125,104.51957694703214,102.19511328203184,12.489550807656409,16.37380428203924,12.495404598566331,-2.3244636650002684,4125,104.51957694703214,102.74526200828988,12.508503362475098,16.246586796035608,12.584632972426538,-1.7743149387422397,0,0.0,0.550148726258044,0.018952554818689293,-0.1272174860036337,0.0892283738602071,0.5501487262580287,-0.5501487262580287
文山區,3648,59.97612822428934,60.63009089800055,7.417482719302609,9.53134713309813,13.247442455899524,0.6539626737112021,3648,59.97612822428934,60.506949928374006,7.231843438129398,9.36342859714818,12.836799922317557,0.5308217040846673,0,0.0,-0.1231409696265473,-0.18563928117321105,-0.16791853594994954,-0.41064253358196723,-0.12314096962653476,-0.12314096962653476
松山區,2695,88.8849705547909,87.49296768739678,10.253588237554585,13.539955074386896,11.736364187217855,-1.3920028673941307,2695,88.8849705547909,88.18742206098749,10.045753760386056,13.398872639553776,11.642762266358702,-0.6975484938034265,0,0.0,0.6944543735907018,-0.20783447716852876,-0.14108243483311966,-0.09360192085915386,0.6944543735907042,-0.6944543735907042
萬華區,2482,61.086374997638,61.737492218336754,7.409121496640598,9.80784429894834,12.914898163111488,0.6511172206987519,2482,61.086374997638,62.03067267917991,7.048123490544957,9.545784192370894,12.40722229054345,0.9442976815419024,0,0.0,0.2931804608431534,-0.3609980060956408,-0.2620601065774455,-0.5076758725680381,0.2931804608431505,0.2931804608431505
