fold_id,feature,feature_group,gain_importance,split_importance
1,auxiliary_area_m2,basic_housing,1860265.1860198975,1376.0
1,balcony_area_m2,basic_housing,1602202.4720611572,1438.0
1,bathrooms,basic_housing,276439.0656738281,238.0
1,broad_note_flag,note_or_quality_flags,74497.4282836914,52.0
1,building_age,basic_housing,4337332.2113723755,2698.0
1,building_age_missing,basic_housing,150919.25942993164,59.0
1,building_area_m2,basic_housing,1467748.1499328613,1273.0
1,building_area_ping,basic_housing,394597.0464553833,346.0
1,building_type,location_time,369212.9834213257,194.0
1,comp_365d_count,rule_based_comparable,0.0,0.0
1,comp_365d_mean_price,rule_based_comparable,503354.0351867676,476.0
1,comp_365d_median_age_diff,rule_based_comparable,1106930.3229522705,1029.0
1,comp_365d_median_area_diff_pct,rule_based_comparable,769621.2691421509,909.0
1,comp_365d_median_days_diff,rule_based_comparable,676496.8380661011,870.0
1,comp_365d_median_distance,rule_based_comparable,788957.12159729,700.0
1,comp_365d_median_price,rule_based_comparable,751402.7832565308,728.0
1,comp_365d_nearest_distance,rule_based_comparable,794412.7011108398,806.0
1,comp_365d_nearest_price,rule_based_comparable,977377.4665527344,1049.0
1,comp_365d_std_price,rule_based_comparable,1366749.740158081,1182.0
1,comp_365d_weighted_mean_price,rule_based_comparable,7271177.764793396,541.0
1,comp_730d_count,rule_based_comparable,0.0,0.0
1,comp_730d_mean_price,rule_based_comparable,7097923.408416748,595.0
1,comp_730d_median_age_diff,rule_based_comparable,1470880.5192871094,1148.0
1,comp_730d_median_area_diff_pct,rule_based_comparable,757359.6357574463,863.0
1,comp_730d_median_days_diff,rule_based_comparable,713995.3926391602,853.0
1,comp_730d_median_distance,rule_based_comparable,734290.8078384399,714.0
1,comp_730d_median_price,rule_based_comparable,815117.3387756348,709.0
1,comp_730d_nearest_distance,rule_based_comparable,990833.2943115234,824.0
1,comp_730d_nearest_price,rule_based_comparable,1757806.382949829,964.0
1,comp_730d_std_price,rule_based_comparable,1330362.341468811,1216.0
1,comp_730d_weighted_mean_price,rule_based_comparable,179841081.24098206,912.0
1,district,location_time,609955.7871627808,528.0
1,district_count_180d,time_aware_market,1153874.2874450684,1132.0
1,district_median_price_180d,time_aware_market,1622878.949081421,936.0
1,district_median_price_365d,time_aware_market,1816972.714050293,1029.0
1,district_price_change_180_365,time_aware_market,910504.8081207275,981.0
1,district_type_count_180d,time_aware_market,957879.0978851318,994.0
1,district_type_median_price_180d,time_aware_market,860579.2763519287,719.0
1,district_type_median_price_365d,time_aware_market,910066.5186843872,802.0
