fold_id,transformed_feature,feature,gain_importance,split_importance,feature_group
1,trade_year,trade_year,371944.02378845215,206.0,location_time
1,main_use_missing,main_use_missing,1821.719985961914,9.0,note_or_quality_flags
1,building_age,building_age,4337332.2113723755,2698.0,basic_housing
1,building_age_missing,building_age_missing,150919.25942993164,59.0,basic_housing
1,building_area_m2,building_area_m2,1467748.1499328613,1273.0,basic_housing
1,building_area_ping,building_area_ping,394597.0464553833,346.0,basic_housing
1,main_building_area_m2,main_building_area_m2,2030009.2314605713,1671.0,basic_housing
1,main_building_area_ping,main_building_area_ping,334919.1806640625,298.0,basic_housing
1,auxiliary_area_m2,auxiliary_area_m2,1860265.1860198975,1376.0,basic_housing
1,balcony_area_m2,balcony_area_m2,1602202.4720611572,1438.0,basic_housing
1,land_area_m2,land_area_m2,2954105.3685913086,2028.0,basic_housing
1,floor,floor,3724691.410987854,982.0,basic_housing
1,total_floor,total_floor,1644119.0156402588,1151.0,basic_housing
1,floor_ratio,floor_ratio,936735.5835800171,865.0,basic_housing
1,is_basement,is_basement,0.0,0.0,basic_housing
1,multi_floor,multi_floor,88116.6519165039,69.0,basic_housing
1,rooms,rooms,1108222.2481460571,486.0,basic_housing
1,living_rooms,living_rooms,566724.4872970581,319.0,basic_housing
1,bathrooms,bathrooms,276439.0656738281,238.0,basic_housing
1,has_management,has_management,326414.46144104004,207.0,basic_housing
1,has_elevator,has_elevator,59109.07696533203,26.0,basic_housing
1,has_parking,has_parking,850321.1633605957,218.0,basic_housing
1,parking_area_m2,parking_area_m2,1792817.2339630127,952.0,basic_housing
1,physical_condition_flag,physical_condition_flag,219368.7254638672,163.0,note_or_quality_flags
1,renovation_flag,renovation_flag,57459.51519012451,47.0,note_or_quality_flags
1,broad_note_flag,broad_note_flag,74497.4282836914,52.0,note_or_quality_flags
1,district_median_price_180d,district_median_price_180d,1622878.949081421,936.0,time_aware_market
1,district_median_price_365d,district_median_price_365d,1816972.714050293,1029.0,time_aware_market
1,district_count_180d,district_count_180d,1153874.2874450684,1132.0,time_aware_market
1,district_type_median_price_180d,district_type_median_price_180d,860579.2763519287,719.0,time_aware_market
1,district_type_median_price_365d,district_type_median_price_365d,910066.5186843872,802.0,time_aware_market
1,district_type_count_180d,district_type_count_180d,957879.0978851318,994.0,time_aware_market
1,district_price_change_180_365,district_price_change_180_365,910504.8081207275,981.0,time_aware_market
1,district_type_price_change_180_365,district_type_price_change_180_365,872823.4282455444,1052.0,time_aware_market
1,comp_365d_count,comp_365d_count,0.0,0.0,rule_based_comparable
1,comp_365d_median_price,comp_365d_median_price,751402.7832565308,728.0,rule_based_comparable
1,comp_365d_mean_price,comp_365d_mean_price,503354.0351867676,476.0,rule_based_comparable
1,comp_365d_weighted_mean_price,comp_365d_weighted_mean_price,7271177.764793396,541.0,rule_based_comparable
1,comp_365d_std_price,comp_365d_std_price,1366749.740158081,1182.0,rule_based_comparable
1,comp_365d_nearest_price,comp_365d_nearest_price,977377.4665527344,1049.0,rule_based_comparable
1,comp_365d_nearest_distance,comp_365d_nearest_distance,794412.7011108398,806.0,rule_based_comparable
1,comp_365d_median_distance,comp_365d_median_distance,788957.12159729,700.0,rule_based_comparable
1,comp_365d_median_days_diff,comp_365d_median_days_diff,676496.8380661011,870.0,rule_based_comparable
1,comp_365d_median_area_diff_pct,comp_365d_median_area_diff_pct,769621.2691421509,909.0,rule_based_comparable
1,comp_365d_median_age_diff,comp_365d_median_age_diff,1106930.3229522705,1029.0,rule_based_comparable
1,comp_730d_count,comp_730d_count,0.0,0.0,rule_based_comparable
1,comp_730d_median_price,comp_730d_median_price,815117.3387756348,709.0,rule_based_comparable
1,comp_730d_mean_price,comp_730d_mean_price,7097923.408416748,595.0,rule_based_comparable
1,comp_730d_weighted_mean_price,comp_730d_weighted_mean_price,179841081.24098206,912.0,rule_based_comparable
1,comp_730d_std_price,comp_730d_std_price,1330362.341468811,1216.0,rule_based_comparable
1,comp_730d_nearest_price,comp_730d_nearest_price,1757806.382949829,964.0,rule_based_comparable
1,comp_730d_nearest_distance,comp_730d_nearest_distance,990833.2943115234,824.0,rule_based_comparable
1,comp_730d_median_distance,comp_730d_median_distance,734290.8078384399,714.0,rule_based_comparable
1,comp_730d_median_days_diff,comp_730d_median_days_diff,713995.3926391602,853.0,rule_based_comparable
1,comp_730d_median_area_diff_pct,comp_730d_median_area_diff_pct,757359.6357574463,863.0,rule_based_comparable
1,comp_730d_median_age_diff,comp_730d_median_age_diff,1470880.5192871094,1148.0,rule_based_comparable
1,emb_730d_count,emb_730d_count,0.0,0.0,embedding_reranker_comparable
1,emb_730d_median_price,emb_730d_median_price,586213.5852661133,578.0,embedding_reranker_comparable
1,emb_730d_mean_price,emb_730d_mean_price,483163.23051452637,518.0,embedding_reranker_comparable
1,emb_730d_weighted_mean_price,emb_730d_weighted_mean_price,12487503.922592163,712.0,embedding_reranker_comparable
1,emb_730d_std_price,emb_730d_std_price,901663.1868133545,919.0,embedding_reranker_comparable
1,emb_730d_nearest_price,emb_730d_nearest_price,938843.0329742432,853.0,embedding_reranker_comparable
1,emb_730d_max_similarity,emb_730d_max_similarity,576757.8645477295,611.0,embedding_reranker_comparable
1,emb_730d_mean_similarity,emb_730d_mean_similarity,478510.94299316406,432.0,embedding_reranker_comparable
1,emb_730d_median_similarity,emb_730d_median_similarity,527355.0443725586,550.0,embedding_reranker_comparable
1,emb_730d_mean_reranker_score,emb_730d_mean_reranker_score,838569.6050415039,667.0,embedding_reranker_comparable
1,emb_730d_max_reranker_score,emb_730d_max_reranker_score,1273914.4624786377,935.0,embedding_reranker_comparable
1,emb_730d_median_days_diff,emb_730d_median_days_diff,654394.095916748,767.0,embedding_reranker_comparable
1,emb_730d_median_area_diff_pct,emb_730d_median_area_diff_pct,666872.9659423828,718.0,embedding_reranker_comparable
1,emb_730d_median_age_diff,emb_730d_median_age_diff,968814.1378936768,803.0,embedding_reranker_comparable
1,emb_1095d_count,emb_1095d_count,0.0,0.0,embedding_reranker_comparable
1,emb_1095d_median_price,emb_1095d_median_price,580251.9772033691,622.0,embedding_reranker_comparable
1,emb_1095d_mean_price,emb_1095d_mean_price,573372.6622695923,578.0,embedding_reranker_comparable
1,emb_1095d_weighted_mean_price,emb_1095d_weighted_mean_price,32982924.640045166,1009.0,embedding_reranker_comparable
1,emb_1095d_std_price,emb_1095d_std_price,968343.3933105469,918.0,embedding_reranker_comparable
1,emb_1095d_nearest_price,emb_1095d_nearest_price,1268470.6721801758,836.0,embedding_reranker_comparable
1,emb_1095d_max_similarity,emb_1095d_max_similarity,488828.2233734131,522.0,embedding_reranker_comparable
1,emb_1095d_mean_similarity,emb_1095d_mean_similarity,398130.78575897217,397.0,embedding_reranker_comparable
1,emb_1095d_median_similarity,emb_1095d_median_similarity,461495.8145904541,477.0,embedding_reranker_comparable
1,emb_1095d_mean_reranker_score,emb_1095d_mean_reranker_score,767199.2597045898,663.0,embedding_reranker_comparable
1,emb_1095d_max_reranker_score,emb_1095d_max_reranker_score,1514778.4970321655,968.0,embedding_reranker_comparable
1,emb_1095d_median_days_diff,emb_1095d_median_days_diff,645971.7690124512,751.0,embedding_reranker_comparable
1,emb_1095d_median_area_diff_pct,emb_1095d_median_area_diff_pct,637941.9493255615,722.0,embedding_reranker_comparable
1,emb_1095d_median_age_diff,emb_1095d_median_age_diff,1082762.7007293701,827.0,embedding_reranker_comparable
1,district_中山區,district,68809.4496459961,52.0,location_time
1,district_中正區,district,99312.18588256836,58.0,location_time
1,district_信義區,district,103807.7308959961,93.0,location_time
1,district_內湖區,district,33718.58087158203,21.0,location_time
1,district_北投區,district,74429.91766357422,64.0,location_time
1,district_南港區,district,19528.15296936035,20.0,location_time
1,district_士林區,district,72295.07320404053,75.0,location_time
1,district_大同區,district,36948.1701965332,40.0,location_time
1,district_大安區,district,17710.404891967773,15.0,location_time
1,district_文山區,district,19042.927001953125,22.0,location_time
1,district_松山區,district,56959.917907714844,49.0,location_time
1,district_萬華區,district,7393.276031494141,19.0,location_time
1,trade_month_1.0,trade_month,6687.393981933594,9.0,location_time
1,trade_month_2.0,trade_month,13296.645111083984,22.0,location_time
1,trade_month_3.0,trade_month,31322.86196899414,25.0,location_time
1,trade_month_4.0,trade_month,6844.0791015625,10.0,location_time
1,trade_month_5.0,trade_month,15984.526184082031,16.0,location_time
1,trade_month_6.0,trade_month,18466.786834716797,25.0,location_time
1,trade_month_7.0,trade_month,5047.946029663086,9.0,location_time
1,trade_month_8.0,trade_month,4903.063049316406,9.0,location_time
1,trade_month_9.0,trade_month,11958.109008789062,18.0,location_time
1,trade_month_10.0,trade_month,19242.29605102539,21.0,location_time
1,trade_month_11.0,trade_month,23076.94403076172,32.0,location_time
1,trade_month_12.0,trade_month,31052.936889648438,37.0,location_time
1,trade_quarter_1.0,trade_quarter,32572.78483581543,37.0,location_time
1,trade_quarter_2.0,trade_quarter,27230.397064208984,36.0,location_time
1,trade_quarter_3.0,trade_quarter,31686.868194580078,39.0,location_time
1,trade_quarter_4.0,trade_quarter,57243.968322753906,63.0,location_time
1,trade_yq_2019Q1,trade_yq,10861.936889648438,14.0,location_time
1,trade_yq_2019Q2,trade_yq,9035.745239257812,8.0,location_time
1,trade_yq_2019Q3,trade_yq,15062.817764282227,23.0,location_time
1,trade_yq_2019Q4,trade_yq,14476.21598815918,19.0,location_time
