feature,feature_group,mean_gain_importance,std_gain_importance,mean_split_importance,std_split_importance,gain_share,split_share,rank_gain,rank_split
comp_730d_weighted_mean_price,rule_based_comparable,142129127.00575003,29329398.254196297,866.9333333333333,90.23419265339228,0.45159580173727193,0.01398279569892473,1,37
emb_1095d_weighted_mean_price,embedding_reranker_comparable,34981215.799463905,5318573.071412397,992.7333333333333,48.34617235058406,0.1111480139750969,0.016011827956989248,2,15
comp_730d_mean_price,rule_based_comparable,27633339.327541098,20231809.14462682,599.8666666666667,27.44570397469643,0.08780114457323128,0.009675268817204302,3,56
emb_730d_weighted_mean_price,embedding_reranker_comparable,21554264.8679718,6046927.6613687845,801.1333333333333,44.21678198969039,0.06848571949305961,0.012921505376344086,4,42
comp_365d_weighted_mean_price,rule_based_comparable,11979846.773198955,6454887.55549457,518.6,19.881074992493318,0.038064319553680094,0.008364516129032258,5,62
building_age,basic_housing,4481565.747149658,408089.90774533997,2490.0666666666666,128.1497264177821,0.014239560315743503,0.040162365591397846,6,1
floor,basic_housing,3432261.6406082152,194075.335121608,949.6,45.33967042542011,0.01090554047587898,0.015316129032258066,7,25
land_area_m2,basic_housing,2600961.2332524615,194326.71991333293,1887.0666666666666,83.48606955369152,0.008264197481285377,0.030436559139784946,8,2
comp_730d_nearest_price,rule_based_comparable,2167095.367591858,326915.98764424364,1009.8666666666667,41.40887873506398,0.0068856482171256875,0.01628817204301075,9,14
parking_area_m2,basic_housing,1911034.3535542807,144400.10298210446,955.8666666666667,47.71173360725352,0.0060720494751642295,0.01541720430107527,10,23
building_area_m2,basic_housing,1834713.5144144695,285880.5141600225,1374.7333333333333,82.56466441234902,0.00582955047959093,0.022173118279569894,11,4
main_building_area_m2,basic_housing,1807760.7835932414,109417.49871205354,1432.8666666666666,112.1586036867096,0.005743911875170817,0.023110752688172042,12,3
comp_730d_median_price,rule_based_comparable,1786707.1667617797,781390.2780155521,672.9333333333333,45.88878896180368,0.0056770168961276495,0.010853763440860214,13,49
auxiliary_area_m2,basic_housing,1665782.8793202718,118630.70211230178,1177.0666666666666,106.10874924654732,0.005292796562920039,0.01898494623655914,14,7
comp_730d_std_price,rule_based_comparable,1559084.0331598918,134470.64407887156,1315.6666666666667,60.316624889786695,0.004953775617732011,0.02122043010752688,15,6
balcony_area_m2,basic_housing,1488146.1231145223,91281.30480146818,1317.2,96.3336463992277,0.004728380140848451,0.02124516129032258,16,5
district_median_price_365d,time_aware_market,1456709.0947097777,153520.75232590054,890.5333333333333,50.70202400393145,0.004628493296077332,0.014363440860215054,17,32
total_floor,basic_housing,1440400.3196095785,106688.87008512426,983.0,97.64513008118445,0.00457667440066943,0.01585483870967742,18,19
emb_1095d_nearest_price,embedding_reranker_comparable,1435827.9312952678,193000.4924210516,962.6666666666666,56.11552709324202,0.004562146264106882,0.015526881720430107,19,20
district_median_price_180d,time_aware_market,1434249.323753357,140214.0334823266,896.0666666666667,41.91737905292583,0.004557130455218611,0.014452688172043012,20,30
comp_730d_median_age_diff,rule_based_comparable,1413819.1268290202,60556.97478975158,1166.0,38.878932965957645,0.004492216307400599,0.018806451612903227,21,8
emb_1095d_max_reranker_score,embedding_reranker_comparable,1395541.3349182128,171480.864235573,987.4,37.44481654000038,0.004434141131215114,0.015925806451612904,22,16
comp_365d_std_price,rule_based_comparable,1291761.8671147665,66301.43221403303,1142.4,71.1886828887048,0.004104396110233815,0.018425806451612906,23,9
emb_730d_std_price,embedding_reranker_comparable,1237804.4153533936,205695.398992803,1085.5333333333333,103.39650910566617,0.003932953709923487,0.017508602150537633,24,11
emb_1095d_median_age_diff,embedding_reranker_comparable,1191505.6331303914,178596.24176602124,958.5333333333333,110.49878258325263,0.0037858456813445857,0.015460215053763441,25,21
emb_1095d_std_price,embedding_reranker_comparable,1190510.2557932537,94511.06293554945,1089.2,93.37038380251288,0.0037826830064160498,0.017567741935483872,26,10
emb_730d_median_age_diff,embedding_reranker_comparable,1189674.5698654174,229876.63862942546,949.8,137.33129910652457,0.0037800277290317985,0.015319354838709677,27,24
comp_365d_median_age_diff,rule_based_comparable,1173155.0071690877,52107.00380385368,1043.8666666666666,31.80041928444758,0.0037275390849560745,0.016836559139784945,28,13
emb_730d_max_reranker_score,embedding_reranker_comparable,1171175.80842336,115323.85919568302,877.9333333333333,50.15328883485484,0.0037212504524765542,0.01416021505376344,29,35
emb_730d_nearest_price,embedding_reranker_comparable,1163173.4857330322,191433.7384131168,885.0,55.64042723467487,0.0036958241700020774,0.014274193548387097,30,33
comp_365d_nearest_price,rule_based_comparable,1110907.732445272,87144.93326058723,958.2,42.52931761905963,0.0035297569095000575,0.01545483870967742,31,22
rooms,basic_housing,1068411.7385991414,113596.80744305291,471.4,43.00465091126771,0.0033947317192673113,0.007603225806451613,32,65
district_count_180d,time_aware_market,1059860.382496643,111433.1959907817,987.0,61.51190360990527,0.003367560958449985,0.015919354838709678,33,17
district_type_median_price_365d,time_aware_market,971032.3513534546,71131.3850585907,716.6,59.710970516313004,0.0030853220762029378,0.011558064516129033,34,44
