param_id,fold_id,train_start,train_end,valid_start,valid_end,test_start,test_end,num_leaves,min_child_samples,learning_rate,n_estimators,subsample,colsample_bytree,split,n,mae,rmse,mape,medae,r2
11,1,2019-01-01,2021-12-31,2022-01-01,2022-06-30,2022-07-01,2022-09-30,63,50,0.03,1000,0.8,0.8,train,43736,5.280343768157773,6.959543401141753,9.06328209302523,4.137140412617757,0.8973680631935484
11,1,2019-01-01,2021-12-31,2022-01-01,2022-06-30,2022-07-01,2022-09-30,63,50,0.03,1000,0.8,0.8,valid,5929,9.112850073840624,12.442064674392794,13.397382958701481,6.904898167472815,0.7273165563980596
11,1,2019-01-01,2021-12-31,2022-01-01,2022-06-30,2022-07-01,2022-09-30,63,50,0.03,1000,0.8,0.8,test,969,9.302781427789554,12.243509962015343,13.824592173876404,7.53303711872438,0.7278515722095049
11,2,2019-04-01,2022-03-31,2022-04-01,2022-09-30,2022-10-01,2022-12-31,63,50,0.03,1000,0.8,0.8,train,44005,5.371790654542145,7.086081923440752,9.109108831846607,4.2144972681403985,0.8966936469054034
11,2,2019-04-01,2022-03-31,2022-04-01,2022-09-30,2022-10-01,2022-12-31,63,50,0.03,1000,0.8,0.8,valid,3729,8.926493371189808,12.095367695455906,13.39077635911785,6.768338167067768,0.7400972192362868
11,2,2019-04-01,2022-03-31,2022-04-01,2022-09-30,2022-10-01,2022-12-31,63,50,0.03,1000,0.8,0.8,test,1855,9.210261459698657,12.28366023786819,13.804907894984053,7.214508318626059,0.7370550777635851
11,3,2019-07-01,2022-06-30,2022-07-01,2022-12-31,2023-01-01,2023-03-31,63,50,0.03,1000,0.8,0.8,train,42903,5.396801099174055,7.102485982700301,9.100521049186897,4.243335593027616,0.8991371204184098
11,3,2019-07-01,2022-06-30,2022-07-01,2022-12-31,2023-01-01,2023-03-31,63,50,0.03,1000,0.8,0.8,valid,2824,9.162410124447419,12.231156160766446,13.75123326812144,6.962460723492992,0.7356691197359673
11,3,2019-07-01,2022-06-30,2022-07-01,2022-12-31,2023-01-01,2023-03-31,63,50,0.03,1000,0.8,0.8,test,2572,9.104379214866926,12.530922619809353,13.71704564262521,6.924537681529138,0.7000640031862017
11,4,2019-10-01,2022-09-30,2022-10-01,2023-03-31,2023-04-01,2023-06-30,63,50,0.03,1000,0.8,0.8,train,40452,5.334522485675978,7.024062478553766,8.919853783848989,4.202708557539857,0.9023863614542731
11,4,2019-10-01,2022-09-30,2022-10-01,2023-03-31,2023-04-01,2023-06-30,63,50,0.03,1000,0.8,0.8,valid,4427,9.084476353930443,12.372292273647693,13.659462320503849,6.954730961281072,0.7190385160065653
11,4,2019-10-01,2022-09-30,2022-10-01,2023-03-31,2023-04-01,2023-06-30,63,50,0.03,1000,0.8,0.8,test,3175,9.530682760144286,12.876202755289777,13.814765623051658,7.1914784861829375,0.7072480346299637
11,5,2020-01-01,2022-12-31,2023-01-01,2023-06-30,2023-07-01,2023-09-30,63,50,0.03,1000,0.8,0.8,train,38519,5.315435520145054,6.986523050055966,8.80312837637682,4.1863184077842135,0.9055202511853384
11,5,2020-01-01,2022-12-31,2023-01-01,2023-06-30,2023-07-01,2023-09-30,63,50,0.03,1000,0.8,0.8,valid,5747,9.226393272084236,12.563999609468157,13.638635765342533,6.983285169396382,0.712034650444858
11,5,2020-01-01,2022-12-31,2023-01-01,2023-06-30,2023-07-01,2023-09-30,63,50,0.03,1000,0.8,0.8,test,3144,9.324802040809418,12.758870792344844,13.322856895873947,6.986617560176292,0.7407986205877359
11,6,2020-04-01,2023-03-31,2023-04-01,2023-09-30,2023-10-01,2023-12-31,63,50,0.03,1000,0.8,0.8,train,38109,5.3482609933433585,7.02989863249653,8.760134911037703,4.206573162342465,0.9052733132712443
11,6,2020-04-01,2023-03-31,2023-04-01,2023-09-30,2023-10-01,2023-12-31,63,50,0.03,1000,0.8,0.8,valid,6319,9.423223850000078,12.827322220537134,13.502190502230269,7.037923395927891,0.7246567218620521
11,6,2020-04-01,2023-03-31,2023-04-01,2023-09-30,2023-10-01,2023-12-31,63,50,0.03,1000,0.8,0.8,test,3475,9.507650063537804,12.782918915526865,13.46451030531044,7.31758835978146,0.7218083869349452
11,7,2020-07-01,2023-06-30,2023-07-01,2023-12-31,2024-01-01,2024-03-31,63,50,0.03,1000,0.8,0.8,train,37451,5.428100973055998,7.134313997763593,8.742188010531086,4.269798839268141,0.9046651070437295
11,7,2020-07-01,2023-06-30,2023-07-01,2023-12-31,2024-01-01,2024-03-31,63,50,0.03,1000,0.8,0.8,valid,6619,9.334826595590213,12.648426072197521,13.292336061849486,7.093497065385698,0.7363081349330048
11,7,2020-07-01,2023-06-30,2023-07-01,2023-12-31,2024-01-01,2024-03-31,63,50,0.03,1000,0.8,0.8,test,3482,9.926409895163376,13.521761741420887,13.75894296435242,7.702411150288501,0.7284754404866398
11,8,2020-10-01,2023-09-30,2023-10-01,2024-03-31,2024-04-01,2024-06-30,63,50,0.03,1000,0.8,0.8,train,36225,5.448484630210421,7.153975658665623,8.692542264189678,4.28491688819912,0.9068384842720429
11,8,2020-10-01,2023-09-30,2023-10-01,2024-03-31,2024-04-01,2024-06-30,63,50,0.03,1000,0.8,0.8,valid,6957,9.601715470844754,13.029042753367245,13.498851586538605,7.350677397678595,0.731280275191299
11,8,2020-10-01,2023-09-30,2023-10-01,2024-03-31,2024-04-01,2024-06-30,63,50,0.03,1000,0.8,0.8,test,4025,10.019391492417448,13.378853389877307,13.201567490542669,7.575130769850162,0.7224128606818356
11,9,2021-01-01,2023-12-31,2024-01-01,2024-06-30,2024-07-01,2024-09-30,63,50,0.03,1000,0.8,0.8,train,35525,5.495648327414812,7.196216361845104,8.636345113664408,4.3652199449253715,0.9071939782287379
11,9,2021-01-01,2023-12-31,2024-01-01,2024-06-30,2024-07-01,2024-09-30,63,50,0.03,1000,0.8,0.8,valid,7507,9.954953992671195,13.41189509100384,13.436606501042508,7.581053693317898,0.7274280010118073
11,9,2021-01-01,2023-12-31,2024-01-01,2024-06-30,2024-07-01,2024-09-30,63,50,0.03,1000,0.8,0.8,test,2827,10.363250736898848,13.874360839679406,13.454482854767749,7.998792601863229,0.7088754279947532
11,10,2021-04-01,2024-03-31,2024-04-01,2024-09-30,2024-10-01,2024-12-31,63,50,0.03,1000,0.8,0.8,train,35354,5.5665766969513095,7.286936981918392,8.625886861679225,4.395538338705514,0.9078321418631043
11,10,2021-04-01,2024-03-31,2024-04-01,2024-09-30,2024-10-01,2024-12-31,63,50,0.03,1000,0.8,0.8,valid,6852,9.987213633889887,13.371644338250855,13.216362690060041,7.596790378852141,0.7258037908873191
11,10,2021-04-01,2024-03-31,2024-04-01,2024-09-30,2024-10-01,2024-12-31,63,50,0.03,1000,0.8,0.8,test,2204,10.42179733140353,13.981145237738893,14.7593486094133,7.955837840072427,0.6883822143799445
11,11,2021-07-01,2024-06-30,2024-07-01,2024-12-31,2025-01-01,2025-03-31,63,50,0.03,1000,0.8,0.8,train,36095,5.697055328305813,7.446415195160744,8.64603075687002,4.528642456709036,0.9066684479648801
11,11,2021-07-01,2024-06-30,2024-07-01,2024-12-31,2025-01-01,2025-03-31,63,50,0.03,1000,0.8,0.8,valid,5031,10.258464910174265,13.754957394215895,13.973674832258434,7.759525682476934,0.7079351673571899
11,11,2021-07-01,2024-06-30,2024-07-01,2024-12-31,2025-01-01,2025-03-31,63,50,0.03,1000,0.8,0.8,test,2098,10.432173200282353,13.899644515556561,14.237665673468921,8.0902393872584,0.7014181853471919
11,12,2021-10-01,2024-09-30,2024-10-01,2025-03-31,2025-04-01,2025-06-30,63,50,0.03,1000,0.8,0.8,train,35473,5.752195521699093,7.516906287269341,8.597423371120927,4.5820447802707065,0.9073265169460594
11,12,2021-10-01,2024-09-30,2024-10-01,2025-03-31,2025-04-01,2025-06-30,63,50,0.03,1000,0.8,0.8,valid,4302,10.487277708289032,14.036607478972279,14.543114600733368,8.107165373910984,0.6911902863917947
11,12,2021-10-01,2024-09-30,2024-10-01,2025-03-31,2025-04-01,2025-06-30,63,50,0.03,1000,0.8,0.8,test,2307,10.224957748415367,13.636363709284927,14.040324521683086,7.726540834743531,0.7266262988980074
11,13,2022-01-01,2024-12-31,2025-01-01,2025-06-30,2025-07-01,2025-09-30,63,50,0.03,1000,0.8,0.8,train,33657,5.717761769403383,7.45774497275291,8.46392003038707,4.54555810125288,0.9097117891172436
11,13,2022-01-01,2024-12-31,2025-01-01,2025-06-30,2025-07-01,2025-09-30,63,50,0.03,1000,0.8,0.8,valid,4405,10.255122540333646,13.680969726555096,13.933347969246512,7.882874382940933,0.7183129049826668
