current_id,current_trade_date,candidate_rank,candidate_id,candidate_trade_date,similarity
RPUOMLMLJINFFDA08DA,2018-06-30,1,RPTOMLQLKINFFDA38CA,2018-06-03,0.97921735
RPOOMLOKJINFFDA57DA,2018-08-29,1,RPUOMLMLJINFFDA08DA,2018-06-30,0.9930176
RPOOMLOKJINFFDA57DA,2018-08-29,2,RPTOMLQLKINFFDA38CA,2018-06-03,0.9755377
RPPOMLOKJINFFDA67DA,2018-08-29,1,RPTOMLQLKINFFDA38CA,2018-06-03,0.9813399
RPPOMLOKJINFFDA67DA,2018-08-29,2,RPUOMLMLJINFFDA08DA,2018-06-30,0.9743323
RPSOMLRKKINFFDA28CA,2018-09-08,1,RPPOMLOKJINFFDA67DA,2018-08-29,0.9610863
RPSOMLRKKINFFDA28CA,2018-09-08,2,RPOOMLOKJINFFDA57DA,2018-08-29,0.95537657
RPSOMLRKKINFFDA28CA,2018-09-08,3,RPUOMLMLJINFFDA08DA,2018-06-30,0.9522533
RPRNMLMKKINFFDA57CA,2018-09-17,1,RPOOMLOKJINFFDA57DA,2018-08-29,0.98315406
RPRNMLMKKINFFDA57CA,2018-09-17,2,RPTOMLQLKINFFDA38CA,2018-06-03,0.9794703
RPRNMLMKKINFFDA57CA,2018-09-17,3,RPUOMLMLJINFFDA08DA,2018-06-30,0.97871053
RPUQMLOLKINFFDA58DA,2018-09-19,1,RPPOMLOKJINFFDA67DA,2018-08-29,0.9849744
RPUQMLOLKINFFDA58DA,2018-09-19,2,RPTOMLQLKINFFDA38CA,2018-06-03,0.9815034
RPUQMLOLKINFFDA58DA,2018-09-19,3,RPRNMLMKKINFFDA57CA,2018-09-17,0.9777479
RPWOMLOJJHOFFDA18CA,2018-09-23,1,RPRNMLMKKINFFDA57CA,2018-09-17,0.97393465
RPWOMLOJJHOFFDA18CA,2018-09-23,2,RPPOMLOKJINFFDA67DA,2018-08-29,0.96648824
RPWOMLOJJHOFFDA18CA,2018-09-23,3,RPTOMLQLKINFFDA38CA,2018-06-03,0.9651946
RPXOMLMKJINFFDA18CA,2018-10-01,1,RPWOMLOJJHOFFDA18CA,2018-09-23,0.98888403
RPXOMLMKJINFFDA18CA,2018-10-01,2,RPRNMLMKKINFFDA57CA,2018-09-17,0.9737356
RPXOMLMKJINFFDA18CA,2018-10-01,3,RPSOMLRKKINFFDA28CA,2018-09-08,0.967368
RPSNMLRKJINFFDA18DA,2018-10-02,1,RPUOMLMLJINFFDA08DA,2018-06-30,0.99348027
RPSNMLRKJINFFDA18DA,2018-10-02,2,RPOOMLOKJINFFDA57DA,2018-08-29,0.9901474
RPSNMLRKJINFFDA18DA,2018-10-02,3,RPTOMLQLKINFFDA38CA,2018-06-03,0.9813371
RPQPMLQKJINFFDA08DA,2018-10-07,1,RPRNMLMKKINFFDA57CA,2018-09-17,0.98952305
RPQPMLQKJINFFDA08DA,2018-10-07,2,RPOOMLOKJINFFDA57DA,2018-08-29,0.9868812
RPQPMLQKJINFFDA08DA,2018-10-07,3,RPTOMLQLKINFFDA38CA,2018-06-03,0.9842481
RPXOMLNLJINFFDA38CA,2018-10-15,1,RPUOMLMLJINFFDA08DA,2018-06-30,0.981959
RPXOMLNLJINFFDA38CA,2018-10-15,2,RPSNMLRKJINFFDA18DA,2018-10-02,0.9792484
RPXOMLNLJINFFDA38CA,2018-10-15,3,RPOOMLOKJINFFDA57DA,2018-08-29,0.97884446
RPPNMLPJKINFFDA57CA,2018-10-16,1,RPOOMLOKJINFFDA57DA,2018-08-29,0.9741547
RPPNMLPJKINFFDA57CA,2018-10-16,2,RPUOMLMLJINFFDA08DA,2018-06-30,0.9696269
RPPNMLPJKINFFDA57CA,2018-10-16,3,RPQPMLQKJINFFDA08DA,2018-10-07,0.9660193
RPOUMLNJKINFFDA97CA,2018-10-22,1,RPPOMLOKJINFFDA67DA,2018-08-29,0.988618
RPOUMLNJKINFFDA97CA,2018-10-22,2,RPUQMLOLKINFFDA58DA,2018-09-19,0.98802763
RPOUMLNJKINFFDA97CA,2018-10-22,3,RPTOMLQLKINFFDA38CA,2018-06-03,0.98347676
RPXOMLPJKINFFDA48CA,2018-10-26,1,RPWOMLOJJHOFFDA18CA,2018-09-23,0.97967
RPXOMLPJKINFFDA48CA,2018-10-26,2,RPXOMLNLJINFFDA38CA,2018-10-15,0.9790539
RPXOMLPJKINFFDA48CA,2018-10-26,3,RPOUMLNJKINFFDA97CA,2018-10-22,0.97789097
RPQNMLPJKINFFDA67CA,2018-11-01,1,RPOUMLNJKINFFDA97CA,2018-10-22,0.9614446
RPQNMLPJKINFFDA67CA,2018-11-01,2,RPQPMLQKJINFFDA08DA,2018-10-07,0.96006817
RPQNMLPJKINFFDA67CA,2018-11-01,3,RPRNMLMKKINFFDA57CA,2018-09-17,0.9583481
RPSNMLKLJINFFDA47CA,2018-11-02,1,RPPNMLPJKINFFDA57CA,2018-10-16,0.98461926
RPSNMLKLJINFFDA47CA,2018-11-02,2,RPOOMLOKJINFFDA57DA,2018-08-29,0.97913307
RPSNMLKLJINFFDA47CA,2018-11-02,3,RPUOMLMLJINFFDA08DA,2018-06-30,0.9700466
RPXOMLKLKINFFDA18CA,2018-11-04,1,RPUQMLOLKINFFDA58DA,2018-09-19,0.99170923
RPXOMLKLKINFFDA18CA,2018-11-04,2,RPPOMLOKJINFFDA67DA,2018-08-29,0.9883836
RPXOMLKLKINFFDA18CA,2018-11-04,3,RPOUMLNJKINFFDA97CA,2018-10-22,0.9844918
RPQNMLSJJHOFFDA87CA,2018-11-06,1,RPOOMLOKJINFFDA57DA,2018-08-29,0.9943042
RPQNMLSJJHOFFDA87CA,2018-11-06,2,RPUOMLMLJINFFDA08DA,2018-06-30,0.99196595
RPQNMLSJJHOFFDA87CA,2018-11-06,3,RPSNMLRKJINFFDA18DA,2018-10-02,0.9914666
RPOPMLPJKINFFDA67CA,2018-11-07,1,RPSOMLRKKINFFDA28CA,2018-09-08,0.96183777
RPOPMLPJKINFFDA67CA,2018-11-07,2,RPQNMLPJKINFFDA67CA,2018-11-01,0.96048623
RPOPMLPJKINFFDA67CA,2018-11-07,3,RPXOMLMKJINFFDA18CA,2018-10-01,0.9518082
RPVNMLMLKINFFDA08CA,2018-11-08,1,RPQNMLSJJHOFFDA87CA,2018-11-06,0.99422616
RPVNMLMLKINFFDA08CA,2018-11-08,2,RPOOMLOKJINFFDA57DA,2018-08-29,0.9919517
RPVNMLMLKINFFDA08CA,2018-11-08,3,RPUOMLMLJINFFDA08DA,2018-06-30,0.99185055
RPQNMLTJKINFFDA08CA,2018-11-11,1,RPQPMLQKJINFFDA08DA,2018-10-07,0.9797128
RPQNMLTJKINFFDA08CA,2018-11-11,2,RPOOMLOKJINFFDA57DA,2018-08-29,0.9790483
RPQNMLTJKINFFDA08CA,2018-11-11,3,RPRNMLMKKINFFDA57CA,2018-09-17,0.97783643
