feature,feature_group,mean_gain_importance,std_gain_importance,mean_split_importance,std_split_importance,gain_share,split_share,rank_gain,rank_split
emb_1095d_weighted_mean_price,embedding_comparable,7687060.676658122,2798457.138105235,163.66666666666666,22.537798937615474,0.02598952767943601,0.005455555555555555,4,64
emb_1095d_mean_price,embedding_comparable,5105430.781325277,1960199.9189899103,315.4,44.575457693347644,0.017261179557175377,0.010513333333333331,6,49
emb_1095d_nearest_price,embedding_comparable,4204476.778208415,719001.3254516018,525.7333333333333,63.08210824752435,0.014215103822011027,0.017524444444444443,7,14
emb_730d_weighted_mean_price,embedding_comparable,3232008.3870992023,1001877.9174314718,134.53333333333333,14.247138392707232,0.010927241889965354,0.004484444444444444,9,69
emb_1095d_median_price,embedding_comparable,2472469.147842407,975496.0492896843,333.73333333333335,41.11389522962255,0.008359281662693667,0.011124444444444444,14,44
emb_730d_mean_price,embedding_comparable,2447010.052640788,847541.6770559868,287.8666666666667,28.507810124512154,0.008273205867631315,0.009595555555555555,15,53
emb_730d_nearest_price,embedding_comparable,2187688.279908244,457751.5100025334,467.73333333333335,31.942955106758365,0.007396453273394885,0.01559111111111111,17,21
emb_730d_std_price,embedding_comparable,1039305.7934702556,92281.1762637404,509.06666666666666,46.79509538809546,0.0035138354987639072,0.016968888888888888,28,17
emb_1095d_std_price,embedding_comparable,928934.6105784099,85976.32197603786,503.4,55.99464260087744,0.0031406766239432692,0.016779999999999996,32,18
emb_730d_median_age_diff,embedding_comparable,913531.8788289388,110574.73606493304,462.93333333333334,29.23908017574778,0.0030886008384148223,0.015431111111111109,33,25
emb_1095d_median_age_diff,embedding_comparable,855948.0379282633,153652.98454533913,469.2,70.95592193145586,0.0028939130520258425,0.015639999999999998,34,20
emb_730d_median_price,embedding_comparable,695655.1371765137,108125.70568258072,318.8,23.863301172661405,0.0023519716057257478,0.010626666666666666,41,48
emb_1095d_median_area_diff_pct,embedding_comparable,677685.0616007487,110477.29541389411,393.46666666666664,57.43799969988344,0.0022912157724856047,0.013115555555555554,42,31
emb_1095d_median_days_diff,embedding_comparable,677126.1104451497,87401.15045903168,392.1333333333333,63.99650288064481,0.002289325989492997,0.01307111111111111,43,32
emb_730d_median_days_diff,embedding_comparable,639078.1799560547,92867.94612157505,418.26666666666665,62.89386373278475,0.002160688037460923,0.01394222222222222,45,27
emb_730d_median_area_diff_pct,embedding_comparable,604303.5025553385,158130.5923499974,379.46666666666664,59.9938885776432,0.002043116773376368,0.012648888888888887,48,34
emb_730d_max_similarity,embedding_comparable,531519.961887614,66132.25981427134,309.46666666666664,29.222952492534905,0.001797039641380378,0.010315555555555554,56,51
emb_1095d_max_similarity,embedding_comparable,505293.0545338949,92534.22447457747,282.3333333333333,54.64517579892334,0.0017083679158292513,0.00941111111111111,58,54
emb_730d_median_similarity,embedding_comparable,464899.1855682373,61892.715735952515,262.6666666666667,19.6529411345502,0.0015717984753472404,0.008755555555555555,62,57
emb_730d_mean_similarity,embedding_comparable,454414.2882537842,69486.46870269866,248.6,25.544918421143116,0.001536349616487902,0.008286666666666666,63,59
emb_1095d_mean_similarity,embedding_comparable,364975.540129598,50983.31181576473,210.26666666666668,34.829106601615074,0.0012339621477580227,0.007008888888888888,66,61
emb_1095d_median_similarity,embedding_comparable,361353.91408691404,35562.40187776248,223.2,31.43064928196226,0.0012217176300886473,0.007439999999999999,67,60
emb_1095d_count,embedding_comparable,0.0,0.0,0.0,0.0,0.0,0.0,84,82
emb_730d_count,embedding_comparable,0.0,0.0,0.0,0.0,0.0,0.0,85,82
