fold_id,original_feature,feature_group,gain_importance,split_importance
1,auxiliary_area_m2,basic_housing,1818538.0014038086,799.0
1,balcony_area_m2,basic_housing,1283247.465637207,701.0
1,bathrooms,basic_housing,297800.49462890625,145.0
1,broad_note_flag,note_or_quality_flags,69311.0747680664,23.0
1,building_age,basic_housing,4722422.9427948,1817.0
1,building_age_missing,basic_housing,303980.6904296875,74.0
1,building_area_m2,basic_housing,1315645.3728485107,711.0
1,building_area_ping,basic_housing,437485.67596435547,213.0
1,building_type,location_time,392419.91818237305,128.0
1,comp_365d_count,rule_based_comparable,0.0,0.0
1,comp_365d_mean_price,rule_based_comparable,393127.9499206543,237.0
1,comp_365d_median_age_diff,rule_based_comparable,1021510.0621948242,469.0
1,comp_365d_median_area_diff_pct,rule_based_comparable,426586.0630950928,339.0
1,comp_365d_median_days_diff,rule_based_comparable,391714.41271972656,310.0
1,comp_365d_median_distance,rule_based_comparable,588816.6254577637,305.0
1,comp_365d_median_price,rule_based_comparable,478133.9913330078,331.0
1,comp_365d_nearest_distance,rule_based_comparable,651630.6562957764,327.0
1,comp_365d_nearest_price,rule_based_comparable,750781.4211120605,459.0
1,comp_365d_std_price,rule_based_comparable,933526.4373474121,507.0
1,comp_365d_weighted_mean_price,rule_based_comparable,10328463.541564941,231.0
1,comp_730d_count,rule_based_comparable,0.0,0.0
1,comp_730d_mean_price,rule_based_comparable,20673190.181671143,401.0
1,comp_730d_median_age_diff,rule_based_comparable,1336938.637145996,604.0
1,comp_730d_median_area_diff_pct,rule_based_comparable,447371.22564697266,377.0
1,comp_730d_median_days_diff,rule_based_comparable,419356.8557739258,325.0
1,comp_730d_median_distance,rule_based_comparable,406744.4914550781,249.0
1,comp_730d_median_price,rule_based_comparable,628332.8947143555,401.0
1,comp_730d_nearest_distance,rule_based_comparable,898122.8184204102,442.0
1,comp_730d_nearest_price,rule_based_comparable,3273551.7200775146,546.0
1,comp_730d_std_price,rule_based_comparable,1074086.064880371,609.0
1,comp_730d_weighted_mean_price,rule_based_comparable,183700044.73713684,644.0
1,district,location_time,863641.4473114014,421.0
1,district_count_180d,time_aware_market,836401.4634399414,526.0
1,district_median_price_180d,time_aware_market,1210386.404876709,459.0
1,district_median_price_365d,time_aware_market,1502807.9752807617,556.0
1,district_price_change_180_365,time_aware_market,560074.9964141846,393.0
1,district_type_count_180d,time_aware_market,610893.1573486328,412.0
1,district_type_median_price_180d,time_aware_market,607536.23828125,361.0
1,district_type_median_price_365d,time_aware_market,598865.5181884766,359.0
1,district_type_price_change_180_365,time_aware_market,620146.4208679199,460.0
1,emb_1095d_count,embedding_comparable,0.0,0.0
1,emb_1095d_max_similarity,embedding_comparable,396418.2732849121,208.0
1,emb_1095d_mean_price,embedding_comparable,4091210.196685791,236.0
1,emb_1095d_mean_similarity,embedding_comparable,240881.08737182617,135.0
1,emb_1095d_median_age_diff,embedding_comparable,624011.2720947266,347.0
1,emb_1095d_median_area_diff_pct,embedding_comparable,605160.4576416016,359.0
1,emb_1095d_median_days_diff,embedding_comparable,719640.5603027344,271.0
1,emb_1095d_median_price,embedding_comparable,730054.1163330078,258.0
1,emb_1095d_median_similarity,embedding_comparable,302556.0560913086,174.0
1,emb_1095d_nearest_price,embedding_comparable,3073667.4341430664,426.0
1,emb_1095d_std_price,embedding_comparable,986655.7130126953,438.0
1,emb_1095d_weighted_mean_price,embedding_comparable,2225631.1381225586,104.0
1,emb_730d_count,embedding_comparable,0.0,0.0
1,emb_730d_max_similarity,embedding_comparable,612818.0051574707,323.0
1,emb_730d_mean_price,embedding_comparable,3322885.511779785,269.0
1,emb_730d_mean_similarity,embedding_comparable,455865.6572570801,235.0
1,emb_730d_median_age_diff,embedding_comparable,745401.0732574463,401.0
1,emb_730d_median_area_diff_pct,embedding_comparable,428471.0895996094,284.0
1,emb_730d_median_days_diff,embedding_comparable,452432.5953063965,300.0
1,emb_730d_median_price,embedding_comparable,926100.7333679199,350.0
1,emb_730d_median_similarity,embedding_comparable,461706.4875793457,247.0
1,emb_730d_nearest_price,embedding_comparable,2363717.8653411865,463.0
1,emb_730d_std_price,embedding_comparable,874931.2493286133,405.0
1,emb_730d_weighted_mean_price,embedding_comparable,2476004.5337524414,121.0
1,floor,basic_housing,3949659.2091674805,641.0
1,floor_ratio,basic_housing,867962.2380981445,498.0
1,has_elevator,basic_housing,76021.57122802734,18.0
1,has_management,basic_housing,368165.83892822266,139.0
1,has_parking,basic_housing,787754.1744384766,124.0
1,is_basement,basic_housing,0.0,0.0
1,land_area_m2,basic_housing,2791091.6228637695,1190.0
1,living_rooms,basic_housing,675614.5187683105,233.0
1,main_building_area_m2,basic_housing,1893889.3543395996,928.0
1,main_building_area_ping,basic_housing,402574.3187561035,169.0
1,main_use_missing,note_or_quality_flags,1110.81005859375,1.0
1,material,location_time,1990784.2683410645,389.0
1,multi_floor,basic_housing,96208.15789794922,57.0
1,parking_area_m2,basic_housing,2316535.1871032715,694.0
1,physical_condition_flag,note_or_quality_flags,234217.12258911133,100.0
1,renovation_flag,note_or_quality_flags,85308.46728515625,43.0
1,rooms,basic_housing,1641282.0399627686,403.0
1,total_floor,basic_housing,2490375.1676483154,896.0
1,trade_month,location_time,116590.71516418457,111.0
1,trade_quarter,location_time,108820.0153503418,89.0
1,trade_year,location_time,316460.7566680908,131.0
1,trade_yq,location_time,208639.27961730957,121.0
2,auxiliary_area_m2,basic_housing,1922558.7831115723,833.0
2,balcony_area_m2,basic_housing,1351304.764038086,657.0
2,bathrooms,basic_housing,329029.0487060547,166.0
2,broad_note_flag,note_or_quality_flags,62602.59927368164,31.0
2,building_age,basic_housing,4898212.536956787,1811.0
2,building_age_missing,basic_housing,238337.4434814453,63.0
2,building_area_m2,basic_housing,1362554.9927368164,728.0
2,building_area_ping,basic_housing,272863.38943481445,153.0
2,building_type,location_time,386685.0869445801,125.0
2,comp_365d_count,rule_based_comparable,0.0,0.0
