fold_id,transformed_feature,original_feature,gain_importance,split_importance,feature_group
1,trade_year,trade_year,316460.7566680908,131.0,location_time
1,main_use_missing,main_use_missing,1110.81005859375,1.0,note_or_quality_flags
1,building_age,building_age,4722422.9427948,1817.0,basic_housing
1,building_age_missing,building_age_missing,303980.6904296875,74.0,basic_housing
1,building_area_m2,building_area_m2,1315645.3728485107,711.0,basic_housing
1,building_area_ping,building_area_ping,437485.67596435547,213.0,basic_housing
1,main_building_area_m2,main_building_area_m2,1893889.3543395996,928.0,basic_housing
1,main_building_area_ping,main_building_area_ping,402574.3187561035,169.0,basic_housing
1,auxiliary_area_m2,auxiliary_area_m2,1818538.0014038086,799.0,basic_housing
1,balcony_area_m2,balcony_area_m2,1283247.465637207,701.0,basic_housing
1,land_area_m2,land_area_m2,2791091.6228637695,1190.0,basic_housing
1,floor,floor,3949659.2091674805,641.0,basic_housing
1,total_floor,total_floor,2490375.1676483154,896.0,basic_housing
1,floor_ratio,floor_ratio,867962.2380981445,498.0,basic_housing
1,is_basement,is_basement,0.0,0.0,basic_housing
1,multi_floor,multi_floor,96208.15789794922,57.0,basic_housing
1,rooms,rooms,1641282.0399627686,403.0,basic_housing
1,living_rooms,living_rooms,675614.5187683105,233.0,basic_housing
1,bathrooms,bathrooms,297800.49462890625,145.0,basic_housing
1,has_management,has_management,368165.83892822266,139.0,basic_housing
1,has_elevator,has_elevator,76021.57122802734,18.0,basic_housing
1,has_parking,has_parking,787754.1744384766,124.0,basic_housing
1,parking_area_m2,parking_area_m2,2316535.1871032715,694.0,basic_housing
1,physical_condition_flag,physical_condition_flag,234217.12258911133,100.0,note_or_quality_flags
1,renovation_flag,renovation_flag,85308.46728515625,43.0,note_or_quality_flags
1,broad_note_flag,broad_note_flag,69311.0747680664,23.0,note_or_quality_flags
1,district_median_price_180d,district_median_price_180d,1210386.404876709,459.0,time_aware_market
1,district_median_price_365d,district_median_price_365d,1502807.9752807617,556.0,time_aware_market
1,district_count_180d,district_count_180d,836401.4634399414,526.0,time_aware_market
1,district_type_median_price_180d,district_type_median_price_180d,607536.23828125,361.0,time_aware_market
1,district_type_median_price_365d,district_type_median_price_365d,598865.5181884766,359.0,time_aware_market
1,district_type_count_180d,district_type_count_180d,610893.1573486328,412.0,time_aware_market
1,district_price_change_180_365,district_price_change_180_365,560074.9964141846,393.0,time_aware_market
1,district_type_price_change_180_365,district_type_price_change_180_365,620146.4208679199,460.0,time_aware_market
1,comp_365d_count,comp_365d_count,0.0,0.0,rule_based_comparable
1,comp_365d_median_price,comp_365d_median_price,478133.9913330078,331.0,rule_based_comparable
1,comp_365d_mean_price,comp_365d_mean_price,393127.9499206543,237.0,rule_based_comparable
1,comp_365d_weighted_mean_price,comp_365d_weighted_mean_price,10328463.541564941,231.0,rule_based_comparable
1,comp_365d_std_price,comp_365d_std_price,933526.4373474121,507.0,rule_based_comparable
1,comp_365d_nearest_price,comp_365d_nearest_price,750781.4211120605,459.0,rule_based_comparable
1,comp_365d_nearest_distance,comp_365d_nearest_distance,651630.6562957764,327.0,rule_based_comparable
1,comp_365d_median_distance,comp_365d_median_distance,588816.6254577637,305.0,rule_based_comparable
1,comp_365d_median_days_diff,comp_365d_median_days_diff,391714.41271972656,310.0,rule_based_comparable
1,comp_365d_median_area_diff_pct,comp_365d_median_area_diff_pct,426586.0630950928,339.0,rule_based_comparable
1,comp_365d_median_age_diff,comp_365d_median_age_diff,1021510.0621948242,469.0,rule_based_comparable
1,comp_730d_count,comp_730d_count,0.0,0.0,rule_based_comparable
1,comp_730d_median_price,comp_730d_median_price,628332.8947143555,401.0,rule_based_comparable
1,comp_730d_mean_price,comp_730d_mean_price,20673190.181671143,401.0,rule_based_comparable
1,comp_730d_weighted_mean_price,comp_730d_weighted_mean_price,183700044.73713684,644.0,rule_based_comparable
1,comp_730d_std_price,comp_730d_std_price,1074086.064880371,609.0,rule_based_comparable
1,comp_730d_nearest_price,comp_730d_nearest_price,3273551.7200775146,546.0,rule_based_comparable
1,comp_730d_nearest_distance,comp_730d_nearest_distance,898122.8184204102,442.0,rule_based_comparable
1,comp_730d_median_distance,comp_730d_median_distance,406744.4914550781,249.0,rule_based_comparable
1,comp_730d_median_days_diff,comp_730d_median_days_diff,419356.8557739258,325.0,rule_based_comparable
1,comp_730d_median_area_diff_pct,comp_730d_median_area_diff_pct,447371.22564697266,377.0,rule_based_comparable
1,comp_730d_median_age_diff,comp_730d_median_age_diff,1336938.637145996,604.0,rule_based_comparable
1,emb_730d_count,emb_730d_count,0.0,0.0,embedding_comparable
1,emb_730d_median_price,emb_730d_median_price,926100.7333679199,350.0,embedding_comparable
1,emb_730d_mean_price,emb_730d_mean_price,3322885.511779785,269.0,embedding_comparable
1,emb_730d_weighted_mean_price,emb_730d_weighted_mean_price,2476004.5337524414,121.0,embedding_comparable
1,emb_730d_std_price,emb_730d_std_price,874931.2493286133,405.0,embedding_comparable
1,emb_730d_nearest_price,emb_730d_nearest_price,2363717.8653411865,463.0,embedding_comparable
1,emb_730d_max_similarity,emb_730d_max_similarity,612818.0051574707,323.0,embedding_comparable
1,emb_730d_mean_similarity,emb_730d_mean_similarity,455865.6572570801,235.0,embedding_comparable
1,emb_730d_median_similarity,emb_730d_median_similarity,461706.4875793457,247.0,embedding_comparable
1,emb_730d_median_days_diff,emb_730d_median_days_diff,452432.5953063965,300.0,embedding_comparable
1,emb_730d_median_area_diff_pct,emb_730d_median_area_diff_pct,428471.0895996094,284.0,embedding_comparable
1,emb_730d_median_age_diff,emb_730d_median_age_diff,745401.0732574463,401.0,embedding_comparable
1,emb_1095d_count,emb_1095d_count,0.0,0.0,embedding_comparable
1,emb_1095d_median_price,emb_1095d_median_price,730054.1163330078,258.0,embedding_comparable
1,emb_1095d_mean_price,emb_1095d_mean_price,4091210.196685791,236.0,embedding_comparable
1,emb_1095d_weighted_mean_price,emb_1095d_weighted_mean_price,2225631.1381225586,104.0,embedding_comparable
1,emb_1095d_std_price,emb_1095d_std_price,986655.7130126953,438.0,embedding_comparable
1,emb_1095d_nearest_price,emb_1095d_nearest_price,3073667.4341430664,426.0,embedding_comparable
1,emb_1095d_max_similarity,emb_1095d_max_similarity,396418.2732849121,208.0,embedding_comparable
1,emb_1095d_mean_similarity,emb_1095d_mean_similarity,240881.08737182617,135.0,embedding_comparable
1,emb_1095d_median_similarity,emb_1095d_median_similarity,302556.0560913086,174.0,embedding_comparable
1,emb_1095d_median_days_diff,emb_1095d_median_days_diff,719640.5603027344,271.0,embedding_comparable
1,emb_1095d_median_area_diff_pct,emb_1095d_median_area_diff_pct,605160.4576416016,359.0,embedding_comparable
1,emb_1095d_median_age_diff,emb_1095d_median_age_diff,624011.2720947266,347.0,embedding_comparable
1,district_中山區,district,76646.68194580078,45.0,location_time
1,district_中正區,district,141093.52142333984,58.0,location_time
1,district_信義區,district,126304.71633911133,66.0,location_time
1,district_內湖區,district,42148.252868652344,21.0,location_time
1,district_北投區,district,73360.59582519531,40.0,location_time
1,district_南港區,district,11707.635070800781,8.0,location_time
1,district_士林區,district,63774.48828125,34.0,location_time
1,district_大同區,district,27325.89616394043,34.0,location_time
1,district_大安區,district,44985.03829956055,24.0,location_time
1,district_文山區,district,9483.886901855469,7.0,location_time
1,district_松山區,district,234721.6661376953,62.0,location_time
1,district_萬華區,district,12089.068054199219,22.0,location_time
1,trade_month_1.0,trade_month,5101.249938964844,5.0,location_time
1,trade_month_2.0,trade_month,7636.276062011719,6.0,location_time
1,trade_month_3.0,trade_month,9241.345947265625,5.0,location_time
1,trade_month_4.0,trade_month,5504.364074707031,6.0,location_time
1,trade_month_5.0,trade_month,6843.498046875,7.0,location_time
1,trade_month_6.0,trade_month,9707.642883300781,10.0,location_time
1,trade_month_7.0,trade_month,2573.0660400390625,3.0,location_time
1,trade_month_8.0,trade_month,1991.375,3.0,location_time
