feature,feature_group,mean_gain_importance,std_gain_importance,mean_split_importance,std_split_importance,gain_share,split_share,rank_gain,rank_split
comp_730d_weighted_mean_price,rule_based_comparable,165941882.4887665,21630455.497256663,560.1333333333333,39.768736225235756,0.5610403416243676,0.018671111111111107,1,12
comp_730d_mean_price,rule_based_comparable,24729400.176412962,16075817.891040387,354.6666666666667,26.5401761934798,0.08360873647482962,0.011822222222222222,2,40
comp_365d_weighted_mean_price,rule_based_comparable,12624384.968962606,6499383.66029362,252.93333333333334,23.300725514966455,0.04268234847982867,0.00843111111111111,3,58
emb_1095d_weighted_mean_price,embedding_comparable,7687060.676658122,2798457.138105235,163.66666666666666,22.537798937615474,0.02598952767943601,0.005455555555555555,4,64
building_age,basic_housing,5167165.460053507,581484.8361487701,1595.0666666666666,108.65769755565057,0.017469901097056074,0.053168888888888884,5,1
emb_1095d_mean_price,embedding_comparable,5105430.781325277,1960199.9189899103,315.4,44.575457693347644,0.017261179557175377,0.010513333333333331,6,49
emb_1095d_nearest_price,embedding_comparable,4204476.778208415,719001.3254516018,525.7333333333333,63.08210824752435,0.014215103822011027,0.017524444444444443,7,14
floor,basic_housing,4148622.3143585203,136070.26643821032,656.0666666666667,26.42906048453553,0.014026262963937042,0.02186888888888889,8,9
emb_730d_weighted_mean_price,embedding_comparable,3232008.3870992023,1001877.9174314718,134.53333333333333,14.247138392707232,0.010927241889965354,0.004484444444444444,9,69
comp_730d_nearest_price,rule_based_comparable,3230041.4513468426,621620.0936493258,552.0666666666667,43.84789727270961,0.010920591788797967,0.018402222222222223,10,13
comp_730d_median_price,rule_based_comparable,2560516.0886098226,3094335.7665402386,369.46666666666664,28.510315593449597,0.008656963507603888,0.012315555555555554,11,36
land_area_m2,basic_housing,2500055.567138672,144136.3857248278,1104.9333333333334,57.58653943248819,0.008452549823052262,0.036831111111111106,12,2
comp_365d_mean_price,rule_based_comparable,2495164.2294525146,3221161.4981654068,274.73333333333335,27.703704411057352,0.008436012480427938,0.009157777777777777,13,55
emb_1095d_median_price,embedding_comparable,2472469.147842407,975496.0492896843,333.73333333333335,41.11389522962255,0.008359281662693667,0.011124444444444444,14,44
emb_730d_mean_price,embedding_comparable,2447010.052640788,847541.6770559868,287.8666666666667,28.507810124512154,0.008273205867631315,0.009595555555555555,15,53
parking_area_m2,basic_housing,2281917.17409668,252091.3427011022,693.0666666666667,54.33423896411474,0.007715035961463071,0.023102222222222222,16,7
emb_730d_nearest_price,embedding_comparable,2187688.279908244,457751.5100025334,467.73333333333335,31.942955106758365,0.007396453273394885,0.01559111111111111,17,21
total_floor,basic_housing,2112114.04700826,185190.72298331445,721.8666666666667,76.5812982267554,0.007140940965059604,0.02406222222222222,18,5
main_building_area_m2,basic_housing,1682317.2910176595,162076.79054424015,800.9333333333333,50.131921206049164,0.005687821865809088,0.02669777777777777,19,3
auxiliary_area_m2,basic_housing,1664181.536412557,189826.36261550745,708.6,66.98272698454223,0.00562650588091931,0.02362,20,6
building_area_m2,basic_housing,1554224.839920044,227638.6086185028,745.1333333333333,56.58478678265125,0.005254748361727478,0.024837777777777775,21,4
rooms,basic_housing,1420264.602859497,210946.5659268952,352.8,40.60295555744679,0.004801836197315831,0.01176,22,42
comp_730d_std_price,rule_based_comparable,1301147.8227050782,125366.28462106283,657.9333333333333,44.14985304403088,0.0043991089410696325,0.021931111111111106,23,8
comp_730d_median_age_diff,rule_based_comparable,1275553.68928833,95595.84767506256,613.1333333333333,34.20498432072368,0.004312576589258546,0.020437777777777773,24,11
balcony_area_m2,basic_housing,1215262.8449707031,87502.09412410244,641.0666666666667,35.96122250159919,0.004108736573793657,0.02136888888888889,25,10
district_median_price_365d,time_aware_market,1108510.0233632405,165008.9240886422,464.3333333333333,38.17378806508591,0.003747811178674854,0.015477777777777776,26,23
material,location_time,1050609.1157063802,433543.68111614184,262.8666666666667,65.67220184551525,0.00355205140709118,0.008762222222222222,27,56
emb_730d_std_price,embedding_comparable,1039305.7934702556,92281.1762637404,509.06666666666666,46.79509538809546,0.0035138354987639072,0.016968888888888888,28,17
district_median_price_180d,time_aware_market,1029638.7357767741,130478.77696823272,455.06666666666666,33.34980545384822,0.0034811517105031563,0.015168888888888886,29,26
comp_365d_median_age_diff,rule_based_comparable,999304.6713572184,136940.65215758723,509.8666666666667,35.750857465574285,0.0033785939137036943,0.016995555555555555,30,15
comp_365d_std_price,rule_based_comparable,938177.5264872233,72535.43548843158,509.1333333333333,35.8526083264457,0.0031719264122505525,0.01697111111111111,31,16
emb_1095d_std_price,embedding_comparable,928934.6105784099,85976.32197603786,503.4,55.99464260087744,0.0031406766239432692,0.016779999999999996,32,18
emb_730d_median_age_diff,embedding_comparable,913531.8788289388,110574.73606493304,462.93333333333334,29.23908017574778,0.0030886008384148223,0.015431111111111109,33,25
emb_1095d_median_age_diff,embedding_comparable,855948.0379282633,153652.98454533913,469.2,70.95592193145586,0.0028939130520258425,0.015639999999999998,34,20
comp_365d_nearest_price,rule_based_comparable,846836.6283386231,60320.77197663903,477.3333333333333,24.56090583097648,0.0028631078793220958,0.01591111111111111,35,19
has_parking,basic_housing,831851.9761006673,86111.10076650775,122.53333333333333,14.116184564770554,0.0028124455975363375,0.0040844444444444435,36,70
district,location_time,818427.1652038575,110474.73362300862,382.8,47.18686257847624,0.0027670570531928168,0.012759999999999999,37,33
district_count_180d,time_aware_market,729999.6704518636,107007.61342528195,464.53333333333336,36.77512098973332,0.0024680885762743744,0.015484444444444443,38,22
comp_730d_nearest_distance,rule_based_comparable,728919.5290639241,94344.69447537279,379.2,26.72665870838116,0.0024644366778855922,0.012639999999999998,39,35
floor_ratio,basic_housing,705172.1859822591,90660.1572474234,411.3333333333333,63.586461571926584,0.0023841482222203367,0.01371111111111111,40,28
emb_730d_median_price,embedding_comparable,695655.1371765137,108125.70568258072,318.8,23.863301172661405,0.0023519716057257478,0.010626666666666666,41,48
emb_1095d_median_area_diff_pct,embedding_comparable,677685.0616007487,110477.29541389411,393.46666666666664,57.43799969988344,0.0022912157724856047,0.013115555555555554,42,31
emb_1095d_median_days_diff,embedding_comparable,677126.1104451497,87401.15045903168,392.1333333333333,63.99650288064481,0.002289325989492997,0.01307111111111111,43,32
district_type_price_change_180_365,time_aware_market,650743.7773101807,37911.62833042735,463.8,21.709773967369767,0.002200128777957851,0.015459999999999998,44,24
emb_730d_median_days_diff,embedding_comparable,639078.1799560547,92867.94612157505,418.26666666666665,62.89386373278475,0.002160688037460923,0.01394222222222222,45,27
comp_365d_nearest_distance,rule_based_comparable,616696.3526163737,65931.92849318602,353.53333333333336,34.33005069836603,0.0020850163151175157,0.011784444444444445,46,41
district_price_change_180_365,time_aware_market,609431.9046284993,85629.55947801324,409.2,37.500857133061444,0.0020604556176027976,0.013639999999999998,47,30
emb_730d_median_area_diff_pct,embedding_comparable,604303.5025553385,158130.5923499974,379.46666666666664,59.9938885776432,0.002043116773376368,0.012648888888888887,48,34
district_type_median_price_180d,time_aware_market,594224.0772115071,44610.542654709614,326.53333333333336,25.58142927612771,0.0020090387928601273,0.010884444444444445,49,45
comp_730d_median_area_diff_pct,rule_based_comparable,583889.3926035563,71381.41716781862,411.2,31.19340589657646,0.001974097794866945,0.013706666666666664,50,29
district_type_median_price_365d,time_aware_market,581496.2773620605,44912.221600233424,324.1333333333333,23.48819358944485,0.0019660068043798017,0.010804444444444443,51,46
comp_730d_median_distance,rule_based_comparable,567150.5553446452,80161.46669314026,295.26666666666665,32.753334981051204,0.0019175047103888903,0.009842222222222221,52,52
comp_365d_median_distance,rule_based_comparable,565304.2784606933,65200.23624441754,310.8,26.0362384818874,0.0019112625501929818,0.01036,53,50
district_type_count_180d,time_aware_market,562984.759757487,67785.31375492738,362.53333333333336,21.380453912950713,0.001903420385537901,0.012084444444444445,54,38
comp_365d_median_price,rule_based_comparable,549382.0644378662,72793.64651391923,323.93333333333334,28.7711826726145,0.001857430423783376,0.010797777777777776,55,47
emb_730d_max_similarity,embedding_comparable,531519.961887614,66132.25981427134,309.46666666666664,29.222952492534905,0.001797039641380378,0.010315555555555554,56,51
comp_730d_median_days_diff,rule_based_comparable,522159.73952636716,85692.09172562677,363.2,35.68953428027404,0.0017653932464349099,0.012106666666666665,57,37
emb_1095d_max_similarity,embedding_comparable,505293.0545338949,92534.22447457747,282.3333333333333,54.64517579892334,0.0017083679158292513,0.00941111111111111,58,54
comp_365d_median_days_diff,rule_based_comparable,500693.1435078939,55984.597028613745,356.1333333333333,28.38980366929214,0.0016928158706507595,0.01187111111111111,59,39
living_rooms,basic_housing,490694.3186106364,79227.79064925204,201.26666666666668,21.87453400864206,0.0016590103957937453,0.006708888888888888,60,62
comp_365d_median_area_diff_pct,rule_based_comparable,471793.6167297363,40460.22315148092,338.6,23.332380932943813,0.001595108166403776,0.011286666666666665,61,43
emb_730d_median_similarity,embedding_comparable,464899.1855682373,61892.715735952515,262.6666666666667,19.6529411345502,0.0015717984753472404,0.008755555555555555,62,57
emb_730d_mean_similarity,embedding_comparable,454414.2882537842,69486.46870269866,248.6,25.544918421143116,0.001536349616487902,0.008286666666666666,63,59
