id,trade_date,district,building_type,text_representation
RPROMLSJJHOFFDA08CA,2019-01-04,南港區,公寓(5樓含以下無電梯),"行政區：南港區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：43.88 年
建物坪數：21.86 坪
主建物坪數：21.86 坪
樓層：2 / 4
樓層比例：0.50
格局：2 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：1
裝潢標記：0
廣泛備註標記：1"
RPXOMLLMJHOFFEA48DA,2019-01-02,士林區,華廈(10層含以下有電梯),"行政區：士林區
建物型態：華廈(10層含以下有電梯)
主要建材：鋼筋混凝土造
屋齡：34.68 年
建物坪數：44.20 坪
主建物坪數：33.48 坪
樓層：4 / 5
樓層比例：0.80
格局：3 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPPPMLPLJHOFFEA08DA,2019-01-02,士林區,公寓(5樓含以下無電梯),"行政區：士林區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：37.80 年
建物坪數：9.44 坪
主建物坪數：8.13 坪
樓層：4 / 5
樓層比例：0.80
格局：3 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPWNMLPKJHOFFAA97CA,2019-01-01,文山區,套房(1房1廳1衛),"行政區：文山區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：10.61 年
建物坪數：9.19 坪
主建物坪數：5.12 坪
樓層：3 / 10
樓層比例：0.30
格局：1 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPWOMLPLJHOFFEA58CA,2019-01-03,北投區,華廈(10層含以下有電梯),"行政區：北投區
建物型態：華廈(10層含以下有電梯)
主要建材：鋼筋混凝土造
屋齡：4.58 年
建物坪數：28.26 坪
主建物坪數：12.44 坪
樓層：7 / 9
樓層比例：0.78
格局：2 房 1 廳 2 衛
車位：有
車位面積：11.59
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPQNMLTKJHOFFAA77CA,2019-01-04,文山區,公寓(5樓含以下無電梯),"行政區：文山區
建物型態：公寓(5樓含以下無電梯)
主要建材：加強磚造
屋齡：缺失 年
建物坪數：17.25 坪
主建物坪數：17.25 坪
樓層：2 / 4
樓層比例：0.50
格局：2 房 2 廳 1 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPVPMLPKJHOFFCA28CA,2019-01-04,中山區,套房(1房1廳1衛),"行政區：中山區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：11.26 年
建物坪數：12.76 坪
主建物坪數：7.85 坪
樓層：3 / 12
樓層比例：0.25
格局：1 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPSOMLSLJHOFFAA08CA,2019-01-07,中正區,住宅大樓(11層含以上有電梯),"行政區：中正區
建物型態：住宅大樓(11層含以上有電梯)
主要建材：鋼筋混凝土造
屋齡：0.39 年
建物坪數：29.35 坪
主建物坪數：15.24 坪
樓層：8 / 12
樓層比例：0.67
格局：1 房 2 廳 2 衛
車位：有
車位面積：6.87
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPWOMLOLJHOFFEA48CA,2019-01-02,士林區,公寓(5樓含以下無電梯),"行政區：士林區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：42.26 年
建物坪數：29.91 坪
主建物坪數：25.54 坪
樓層：1 / 4
樓層比例：0.25
格局：3 房 2 廳 1 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：1
裝潢標記：0
廣泛備註標記：0"
RPOOMLPLJHOFFEA77CA,2019-01-01,北投區,華廈(10層含以下有電梯),"行政區：北投區
建物型態：華廈(10層含以下有電梯)
主要建材：鋼筋混凝土造
屋齡：6.44 年
建物坪數：38.71 坪
主建物坪數：17.79 坪
樓層：2 / 5
樓層比例：0.40
格局：3 房 2 廳 2 衛
車位：有
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：1
裝潢標記：0
廣泛備註標記：0"
RPTOMLTLJHOFFEA68CA,2019-01-08,北投區,套房(1房1廳1衛),"行政區：北投區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：40.76 年
建物坪數：14.24 坪
主建物坪數：11.64 坪
樓層：1 / 8
樓層比例：0.12
格局：1 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPUNMLSKJHOFFBA18CA,2019-01-02,萬華區,公寓(5樓含以下無電梯),"行政區：萬華區
建物型態：公寓(5樓含以下無電梯)
主要建材：加強磚造
屋齡：50.04 年
建物坪數：23.78 坪
主建物坪數：21.80 坪
樓層：2 / 4
樓層比例：0.50
格局：0 房 0 廳 0 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPOOMLPLJHOFFAA37CA,2019-01-02,中正區,住宅大樓(11層含以上有電梯),"行政區：中正區
建物型態：住宅大樓(11層含以上有電梯)
主要建材：鋼筋混凝土造
屋齡：6.43 年
建物坪數：54.62 坪
主建物坪數：32.51 坪
樓層：13 / 15
樓層比例：0.87
格局：3 房 2 廳 2 衛
車位：有
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPVPMLSKJHOFFEA88DA,2019-01-08,士林區,公寓(5樓含以下無電梯),"行政區：士林區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：39.27 年
建物坪數：32.91 坪
主建物坪數：27.94 坪
樓層：5 / 5
樓層比例：1.00
格局：3 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：無
電梯：缺失
房屋狀態備註標記：1
裝潢標記：0
廣泛備註標記：0"
RPTSMLMLJHOFFCA18CA,2019-01-06,中山區,套房(1房1廳1衛),"行政區：中山區
建物型態：套房(1房1廳1衛)
主要建材：鋼筋混凝土造
屋齡：37.25 年
建物坪數：11.07 坪
主建物坪數：7.98 坪
樓層：11 / 12
樓層比例：0.92
格局：1 房 1 廳 1 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPOOMLSLLHOFFEA38DA,2019-01-10,北投區,公寓(5樓含以下無電梯),"行政區：北投區
建物型態：公寓(5樓含以下無電梯)
主要建材：鋼筋混凝土造
屋齡：23.55 年
建物坪數：62.94 坪
主建物坪數：30.69 坪
樓層：3 / 10
樓層比例：0.30
格局：4 房 2 廳 2 衛
車位：有
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
RPRTMLSLJHOFFCA78DA,2019-01-07,中山區,住宅大樓(11層含以上有電梯),"行政區：中山區
建物型態：住宅大樓(11層含以上有電梯)
主要建材：鋼筋混凝土造
屋齡：34.28 年
建物坪數：26.66 坪
主建物坪數：20.87 坪
樓層：8 / 13
樓層比例：0.62
格局：3 房 2 廳 2 衛
車位：無
車位面積：0.00
管理組織：有
電梯：缺失
房屋狀態備註標記：0
裝潢標記：0
廣泛備註標記：0"
