district,n,mae,rmse,mape,r2,bias,y_true_mean,y_true_median,y_pred_mean
中正區,1948,15.0,19.02,16.8,0.58,-0.94,96.48,90.1,95.54
大安區,4125,12.39,16.18,12.59,0.57,-0.75,104.52,100.14,103.77
信義區,2863,11.67,16.02,14.36,0.53,0.07,85.89,82.06,85.96
士林區,3112,10.71,14.2,17.21,0.58,0.72,69.34,65.2,70.06
中山區,4765,10.12,13.29,12.79,0.6,-0.54,81.95,78.39,81.41
北投區,3566,10.09,12.83,19.11,0.55,0.13,58.86,56.95,58.99
南港區,1566,10.02,12.92,14.78,0.6,1.09,76.52,75.57,77.61
松山區,2695,9.94,13.35,11.58,0.55,-0.18,88.88,85.71,88.7
大同區,1552,9.24,12.73,12.76,0.66,-0.04,76.8,73.61,76.75
內湖區,4107,8.1,10.54,12.21,0.59,0.42,70.19,68.12,70.61
文山區,3648,7.22,9.42,12.82,0.61,0.43,59.98,57.88,60.41
萬華區,2482,6.93,9.43,12.17,0.6,0.52,61.09,60.3,61.61
